x1,x2,x3,x4,x5,x6,x7,x8,x9,x10
11955,42377,7100,21487,161,35415,6212,35021,16192,4495
15327,37160,16612,24101,40888,36497,34159,28977,46838,41783
45457,39733,5854,479,12512,42423,13067,37526,47023,25760
31627,20502,34394,19337,16834,45586,18636,31515,23443,12636
40677,16607,9299,21063,2329,13337,34458,39521,715,45725
3905,1940,3172,20079,22469,3119,25556,35481,30331,9684
23559,8408,41978,14079,11593,17890,31688,17460,10206,10245
31534,30207,11489,44849,42749,18231,1615,12083,28651,26713
22373,4234,5311,2395,16843,19952,40177,31021,28601,19509
7160,21746,23403,28150,3746,5662,40218,7817,27041,12673
3810,41311,38696,2830,46514,12513,7398,16055,14780,17948
36155,3546,34337,12066,42994,14990,31922,23914,20495,12811
3388,34087,35419,17202,18502,35172,37500,26600,16596,23160
921,48812,32749,47342,16235,20762,30000,37848,4281,1976
43953,8240,13893,36888,16105,12276,29026,45426,17458,37132
41607,21279,18613,7532,3441,35955,24885,13116,14642,21401
41130,18241,47154,42596,5886,36160,36143,44186,22904,37026
32736,25759,24828,4327,22622,25296,17469,33473,22743,41790
9749,15656,10843,2732,24740,16728,29594,21975,16969,1070
857,28607,16140,3817,46899,11904,20599,46163,5172,2912
40649,12807,43916,2619,27638,21590,28900,8190,6986,48284
35486,20838,12870,48200,9644,9379,42961,10346,13278,18835
26345,3772,46705,29689,11826,13342,17398,24867,38412,40862
26802,28974,27497,37420,39649,19598,8328,42693,12091,5125
13624,47864,26123,47413,8460,27509,5787,32376,19259,33750
756,37027,35069,28049,36438,43128,9877,40246,4394,5476
38547,17425,39011,38470,29906,34879,40871,21576,11003,18958
19571,9522,27491,20704,19497,41906,32339,47338,25166,29567
1977,12809,8233,19400,39821,18168,13761,1930,4150,14001
29614,26565,28393,14957,19696,4689,34294,37862,16095,14939
8865,27004,23487,16637,31089,30917,6467,36743,44723,18327
30614,23799,17967,22703,30064,17872,39487,19488,29594,33676
36239,7036,39412,25038,35753,23138,18967,29694,22679,19599
22965,48428,41205,43962,28263,42510,40303,38560,16491,22969
34801,30038,568,670,27866,24198,32067,23049,27265,46106
29264,36166,47313,8153,26754,22607,13605,8453,6859,13465
30280,26501,34739,35920,33281,33880,21679,28775,846,8042
21278,33912,20157,44293,4197,40856,37552,13455,16798,18317
7396,15508,33117,35721,32303,26107,42870,20322,47466,38942
26763,21207,4878,12397,10214,15017,23525,4262,47588,24519
5449,31908,31,14418,40862,18415,41450,7599,44125,37337
36913,26092,37314,20834,45525,5911,22825,39901,32276,30992
43892,5764,26207,17125,19319,15146,15377,27609,10747,8697
15682,42872,12710,21739,10218,18570,16882,39391,29340,12861
17478,16277,38804,32279,33185,35918,43404,39622,17734,5010
2665,28996,29504,10649,34916,41690,15521,44509,16717,9881
37352,47984,30595,38416,34075,45183,45793,9293,12188,36519
17069,21206,20247,12977,35696,33656,21514,19638,7619,27649
11835,33351,21923,28976,43722,12744,21911,27794,1716,20552
19048,15549,11334,1849,36600,41362,19183,23793,21829,39251
17548,38529,5967,15668,19694,47042,44052,35566,45330,24304
27575,19187,22954,9217,19353,2970,28120,15508,47821,14786
47328,36066,8525,355,42889,34035,21736,28833,22507,40578
11274,2131,4283,37853,4122,1316,18849,28683,23671,13617
32956,13259,10271,36775,13384,25721,8723,31196,11439,33328
33616,29875,37575,33369,36335,23091,47249,24273,12595,11049
492,43400,47367,14839,24988,15138,29232,11526,35404,40890
15577,4083,2656,43013,32545,28471,42125,41021,38269,44493
11820,10314,47155,36268,26,18285,35217,24614,4941,17602
48655,17754,23975,44950,29278,2179,9265,36486,36240,18233
14851,30730,11237,16646,4213,38107,1096,9742,6291,17434
28948,43389,43097,10035,42019,15574,42908,30235,2177,30428
23258,20372,47549,7024,48501,7656,15413,29051,37574,26775
20659,19619,13222,14251,20269,32396,30195,10047,31020,23985
7753,41337,37455,9144,47368,3669,16614,21543,39001,28092
14426,4628,34781,39999,42428,34627,4747,2899,2865,37983
36500,26870,26514,18036,31710,12775,34483,39686,32799,16794
42459,5788,19483,37341,45475,27762,35292,16891,18169,3320
