x1,x2,x3,x4,x5,x6,x7,x8,x9,x10
3521,6371,31409,23937,12888,25292,28999,3042,15811,18728
11775,1667,21171,23471,28702,2980,25872,20919,6885,7385
29225,16875,11270,7139,10857,17282,13193,23800,30078,4331
31911,29591,9813,32558,11918,13724,15502,8010,11627,25042
486,21801,21892,3748,16589,8898,29231,2234,22622,12775
31559,18506,17566,1482,3165,25569,16791,11085,26626,31403
4484,7662,22900,3299,12058,3197,5635,3503,20256,18176
30207,5498,14397,18990,22986,1818,27919,29847,25171,30698
12045,24304,7450,1841,17919,12256,24513,29165,7953,32416
3558,6143,17524,16510,26335,30786,5809,26404,3427,12419
5333,31991,24941,1288,31786,20989,14614,10466,20784,11638
7307,24669,29556,17740,9619,14381,3323,14237,27562,1793
28407,7355,12145,13024,28481,5574,5668,2137,7846,22110
26673,820,5719,13916,28033,7136,25362,4065,16174,20520
15744,19157,7053,30726,30170,10359,27776,10644,7913,9486
22679,25230,6212,8434,22517,16601,15949,57,30482,14481
19896,14512,921,8038,9488,26235,29269,9959,2315,26698
24984,4588,31410,20287,14467,14610,2453,10908,32270,21839
8852,9455,21768,2989,13629,6699,23041,15537,26092,25110
15999,2543,21004,13828,7392,15419,28212,21177,8214,26725
25014,16835,346,5529,29736,18960,5012,3426,26737,19934
31311,27562,22143,31239,10714,3093,17852,19472,27754,29700
24490,22432,24938,13225,1003,28453,27028,30654,21588,24031
12429,6922,6680,8321,3290,6687,7833,17159,3522,25854
31487,10046,8767,10096,22364,29779,27387,19607,31455,8461
15283,5152,17778,2487,31276,22127,32308,16345,1833,13277
26160,11136,10721,17368,5206,10870,3147,18769,31229,32222
30733,29596,30313,29821,31890,9745,30041,3882,26012,14352
19764,7011,31433,23818,2277,8821,8681,23622,30398,3903
1908,22282,9473,27872,26558,16549,3498,12895,14417,26438
18229,8387,22999,12460,11269,7571,2761,28584,28107,31487
2728,15715,26330,14770,31483,26810,18224,5659,17507,3790
25035,20948,23178,19020,6507,23913,5254,16835,28977,12374
22022,21087,27685,10236,15278,24978,15652,790,6070,6219
31574,3326,5235,28779,8199,22326,11313,10786,32466,23600
13302,31614,19017,15985,31723,2204,348,15948,12812,5761
15640,21113,2805,1140,27939,18890,13234,28385,13029,8227
14371,21561,13067,22623,23530,29418,14713,15809,10447,7215
17060,25392,28166,29052,1011,27582,20960,4636,4813,16358
31121,8691,30784,32170,4902,20239,2816,11724,2370,27193
16008,19862,18780,15864,32149,11061,21842,8950,13789,3461
27133,17272,6272,14538,5529,26319,43,8079,6717,22468
15508,26485,16203,2787,13134,21831,31194,31567,26508,21085
3817,30560,17996,10436,20914,7998,27547,15466,19761,19638
13207,2289,2731,8670,13413,3490,9086,6591,5070,10303
3831,6978,31721,7130,1743,24636,14948,30526,31506,13566
22998,20679,1497,2037,29419,9449,19155,18154,13356,27514
4271,20316,21380,30250,21525,26032,19674,29665,22965,31891
23830,11594,6925,29628,10044,950,10172,17112,32031,16413
30163,6176,6716,7798,10753,10198,16819,6225,1733,25496
9819,20181,23629,2877,27435,12850,13104,4495,15084,8628
13,23351,28335,18609,3941,23894,28508,26126,13410,29846
31055,20204,26495,19245,31952,13139,21770,22538,26854,3625
30066,31985,13959,6576,11033,23463,32557,1781,31637,30457
