x1,x2,x3,x4,x5,x6,x7,x8,x9,x10
3932,1890,14384,12895,28989,21680,18879,775,27593,8023
5137,25700,62,23261,15263,17426,612,1180,29061,28214
4495,19041,17464,23694,13292,10243,11181,23532,26608,12699
13038,18342,29265,8790,25039,443,31997,5773,5041,1872
25842,3369,14439,28543,4436,11991,882,2588,28355,24104
10921,18591,2173,7826,12239,24256,909,2878,3447,16718
14480,31084,1270,26972,27624,283,8075,32034,12302,17397
7579,458,31715,1646,23858,26627,9632,9746,30801,23886
5478,26813,14830,16328,6503,16433,24477,6423,5602,25831
7033,21969,14938,28179,3126,27963,17322,25397,22024,28181
17338,9833,3021,24166,20798,10086,22083,877,16487,5886
19779,27787,11041,3302,15692,24679,23933,7955,22628,30569
28758,1711,31263,23258,31489,3187,26407,2358,23246,21844
4173,14715,8258,18209,28738,13357,22499,1008,11916,16923
21419,26657,193,15944,24384,30715,28429,8753,14048,31844
6499,28061,1812,4069,7645,3115,19817,26672,10606,28887
31719,9871,31253,5853,7125,8832,20155,1654,31857,22458
6759,5365,29944,25025,14606,23907,23459,23659,23636,12406
5358,11199,3982,10247,2726,28578,31630,27505,27081,6112
16703,22736,22346,26627,9350,3465,19701,4497,32315,28041
24084,32545,23839,26914,31034,10797,27530,26832,27739,14327
15226,634,18373,29654,3145,13459,571,8458,20575,10677
12986,15983,21499,17671,27472,20105,7640,17934,1976,3539
31978,13263,4595,6812,12817,25815,6454,11185,12885,17374
9807,23857,2228,20675,11808,8031,28232,11389,13529,3021
18330,31705,23015,28701,30432,19937,29108,5378,12047,6656
32385,21638,9026,25608,27106,15970,12810,14028,23104,16874
10466,15138,824,22351,926,7224,2565,30648,18699,12455
25262,13797,5249,31271,31592,15331,27470,1215,18271,14367
18302,22219,9396,14665,22024,683,18511,24862,26044,25581
25236,27423,21328,2239,23694,19189,25537,7358,25689,8988
12591,19185,22951,18713,27888,7742,9648,15477,22326,20126
25142,4517,21135,8851,9549,23546,29385,28564,29108,16396
23269,21192,20184,24101,11032,15384,23739,2870,13714,16810
31611,11372,23080,3731,7944,12179,19745,19242,13241,8226
23079,15736,17101,7127,2960,2229,6989,26379,9608,24516
25984,5132,17200,14345,4147,14134,22432,16732,16113,18199
16245,677,10980,27586,20843,21086,18352,19404,25042,11321
27286,24521,20017,9210,13804,28123,23098,29914,23475,17945
9161,19663,18113,14761,10050,29678,12004,9349,10820,22110
19158,1172,25377,15609,8351,456,16853,21121,32215,657
17370,193,20714,2468,26427,10284,28153,3184,6192,3187
16543,10425,15135,20323,26087,259,25967,28348,15211,19023
29685,26368,10560,6994,27736,14887,32506,24407,12542,13342
24129,8549,27878,17248,31957,25101,25508,4404,1600,9686
17631,22389,1814,30325,19525,24984,28161,24601,26559,17905
12630,16478,23361,30961,20918,11597,24248,10231,7486,25255
3186,18311,20621,7832,9465,19017,16337,23386,4854,18684
17797,7649,13265,30154,27710,29494,31332,29363,13845,9941
391,4800,3980,12631,18663,29861,4361,1810,28892,13866
1819,20184,10820,24305,11841,30855,6530,16864,22624,13061
4650,28602,5063,5591,10339,1276,28727,28199,12914,18074
8778,21425,20793,27057,15204,3121,24817,11541,2378,2883
14867,18352,22753,8651,10135,14470,10689,28011,21464,9444
32213,5567,6344,29038,7858,12289,5245,30399,11737,22955
19717,2297,9324,7027,28400,16248,27001,20363,7280,21186
22828,30182,1563,17239,7648,13238,21499,17048,15109,20378
22956,2810,4235,8665,30839,21854,9087,7167,28765,9276
11265,16282,15101,15620,7707,27437,29017,1257,3273,420
17668,21427,16039,25137,28315,18928,18461,27308,13150,21485
25419,2877,4997,19314,4637,25023,26008,21198,28981,19882
12513,11856,22497,21153,15441,9536,15513,19385,22944,28944
3478,18377,31007,28548,21956,19716,29924,23485,24976,17404
25895,5199,22164,22150,26914,19001,9211,28987,22079,22890
20833,18911,23576,9017,21390,26884,26251,12299,25236,3010
16803,14628,3554,29103,15578,17733,1535,11485,30521,3056
8057,22901,26699,21183,15504,28486,14428,23602,6013,11294
612,20147,21587,5493,19829,23599,21797,5658,31877,1870
5044,11625,3465,2552,12826,20589,4677,28488,22121,29536
26055,23692,6804,22498,3909,21411,19381,27740,26711,20824
31968,7745,10498,20708,2153,15688,6306,26985,23404,16078
24547,15173,16694,27446,28066,14437,9941,8562,24761,29697
19826,3522,5582,23305,6049,13660,29038,11275,28913,14648
21380,22503,4970,26484,16036,30145,8815,5027,6091,7379
24792,32480,7046,18695,21960,15056,14330,3377,9357,5509
4147,13448,3101,28677,10065,20053,4827,2684,23031,13284
3129,21880,19917,30936,6964,13326,16389,16928,20300,24862
6533,4857,7015,7403,8531,24605,25623,17400,4421,29157
15142,14283,9270,20928,28795,32060,6796,11192,21991,9400
30152,14684,22556,11382,15891,24735,17864,3789,29077,11800
25495,24320,18073,3039,21852,20216,12565,30778,12751,1812
29131,10053,13308,22447,19110,32285,20213,23205,19510,24382
22668,17759,10554,28903,11465,1258,4854,21267,20944,2554
3553,12039,6036,3246,30007,18701,29395,31612,2684,26642
933,14440,31255,29161,31052,5564,14932,18532,13820,29956
6037,23863,26406,7510,323,23990,6652,27520,14494,9027
21433,24445,7193,26931,27844,3147,13105,8065,23224,28260
11874,15141,19041,29192,1426,4246,9015,20025,7858,30940
23900,21226,5132,30190,7005,4691,13476,15460,22016,6030
14044,13720,14953,12852,7991,26581,21883,28334,17809,27646
21991,17982,23044,27779,5150,5419,17973,5515,16058,2332
22491,8986,24958,29197,1997,30970,23466,7648,6722,13185
23804,13842,1220,7873,28166,14155,13688,6473,6805,21853
18523,17483,26037,19054,29395,833,9342,4970,27795,27274
17101,3450,6861,8982,12820,12521,14045,31569,9946,9970
7682,364,23484,395,28970,27377,24206,31155,12736,28046
4610,12121,29993,30856,15525,24503,32085,19225,12505,3887
29672,20727,20794,21433,15707,16835,12870,216,23665,3636
12432,19110,20168,29702,10362,13873,13895,9716,16157,21219
24877,10027,12044,2101,18902,30450,14279,22876,6552,31548
25498,5638,29928,20005,13549,13495,28116,20869,14736,24013
8393,11784,27823,1102,7464,8535,26639,1112,2607,26677
31244,8684,6423,16623,2465,12119,3137,29615,14419,19863
11431,13914,29755,1768,22191,9074,20020,12467,15164,21328
20626,1293,29920,10519,27566,17362,30862,3774,194,3554
21904,31520,17862,28996,11089,25869,30634,847,6334,15637
26770,25051,19854,25187,19730,14699,5244,23141,3924,26899
21596,15223,24036,18677,28900,16367,19257,24113,9799,10058
4185,16728,27380,15973,2919,23084,6756,14979,26193,4576
8079,2002,29880,6979,25903,23650,7634,24386,31168,4800
28400,25244,28506,996,28778,27711,21417,14994,30133,10828
10925,15920,1390,5580,21032,18443,31780,17885,26022,22036
8933,17241,28101,14279,3165,17781,19369,21648,2293,10316
19429,29477,21112,11372,18352,6033,24072,18491,23028,11619
6234,712,30719,24107,16139,2524,18941,29421,9699,8192
20432,24562,8955,1082,15080,8998,1025,13629,15230,2762
21768,9160,1739,7221,23745,1415,12407,15847,4481,21865
7065,19446,23596,30559,6766,26896,11868,15355,7623,14394
20088,30412,37,86,11846,5668,23436,17304,533,25327
23971,27801,30911,3491,726,27527,2578,20608,16531,26055
15745,15786,22532,11741,15608,9265,20980,22159,11372,22611
14900,184,17505,18329,1530,13225,28694,11826,6537,18982
31842,27897,22755,21966,736,29044,1599,19214,20277,2321
17490,16007,26610,29841,9900,15855,24063,18913,13238,4543
6197,24250,22469,3559,18216,13498,28889,19942,1220,24908
7457,4775,3768,5668,3848,29922,29127,7804,17659,10633
23958,30252,17576,20751,30063,2542,30587,14080,18300,14734
14930,10892,18027,6131,6934,1620,22970,3016,17488,29420
9533,30384,28636,15484,28835,1188,17118,16689,17201,30606
29114,4418,26556,14155,10494,31126,9309,2960,7571,3906
2802,25861,31182,31059,19766,26346,11532,10447,31034,28174
29478,4004,27352,11461,17387,25951,18588,1988,21647,1527
27883,20717,13348,15886,28139,2501,16367,17643,14207,12018
24107,4441,30375,13267,4189,8522,25792,16531,29729,26826
19210,19364,5592,15213,32236,20284,31944,22562,2376,31359
18435,7383,22329,1271,6835,19361,17332,21663,27251,1954
27180,5943,14262,22413,28372,15660,27363,29401,7695,22793
21804,5956,29891,7413,25648,30738,12827,633,21775,29946
13432,11295,13765,14605,9606,32115,28064,31328,26734,15858
31070,24732,21126,24603,585,11508,16762,16617,32504,27784
10737,6432,25877,25974,9793,30544,20191,31455,20008,18975
14963,23790,2163,21763,6843,5860,14709,7988,30219,26320
31991,7484,19226,8480,11835,18728,8425,6309,16086,30320
26241,742,25797,2396,22546,6476,4466,4121,13013,6377
22963,997,29083,5056,18437,4723,487,24910,26631,25324
21215,18602,2196,18233,17424,24994,32145,30159,1739,5012
7553,21114,23717,18112,8,20960,15855,25939,28747,7563
10690,11124,7424,11972,13390,31263,10526,13148,26677,580
10758,29939,20887,10203,21487,20080,31851,6569,829,7140
28425,27809,24082,30478,7004,21439,21277,7767,20176,25048
29277,22806,8559,19121,8303,23532,4235,31151,6783,24675
18888,21564,24095,8634,8665,25448,18738,2546,7532,28469
24675,22334,10863,31895,17552,2285,16180,1353,234,1634
26564,13027,28312,11918,3383,7840,975,11338,6258,358
24519,26363,30749,1062,9464,19876,32373,1192,22429,31781
22060,18082,23255,4445,14589,5148,8959,29776,525,23140
13816,5313,32346,20777,17948,29671,28970,21772,13234,7074
10510,16010,25196,7115,22790,27675,22782,25675,16819,30928
1101,23724,20024,11406,24091,27763,264,22066,23318,20181
14101,31300,2332,7571,5036,24360,12948,3896,8872,15754
13869,25242,9517,25516,24698,9914,11818,30289,12798,23201
1978,5436,23877,11974,16229,8102,16998,5831,16053,9136
24360,12647,19471,22519,31350,4274,28012,4975,9140,29867
30076,8589,8434,15475,647,21883,10050,5109,24351,11075
12939,23117,21772,10147,4873,8000,13169,14147,18115,19031
7014,26269,4263,2174,11586,28963,14883,767,25434,10278
17095,16109,32371,13169,409,23939,16433,21133,9562,10002
2314,11584,32021,2667,28919,17377,21141,16183,20107,17121
12725,31697,8557,24335,30342,21606,19451,27667,19745,8102
1575,2441,19543,27687,18230,28595,30029,20886,8248,15063
24147,10075,14655,15938,10721,16550,6214,1252,31256,22889
11152,12904,1013,378,23894,13192,24480,31622,8285,29121
31406,1003,17153,13139,4442,29813,22882,4235,26990,10499
20870,4726,29147,27043,30574,1617,6424,31053,21380,17797
8728,12336,7820,31648,7899,28996,13070,20111,29230,6307
24082,8079,24792,6115,14218,30597,24897,9692,1071,16834
28764,14846,18040,7280,27084,188,21034,32063,23236,21368
8655,10860,31282,32518,22481,2871,16415,19382,15513,26680
15100,9354,7691,30192,29901,3451,9980,12882,29339,9896
18981,6859,17625,11987,11342,17293,18370,30005,14716,1796
26993,6524,20433,31369,28028,4839,10525,15385,25188,4726
11812,22009,19040,24401,2587,2388,22575,29105,22462,20372
2182,1982,16843,18822,32462,6447,28212,4845,20666,17040
8219,15493,3395,28686,10800,18492,12955,6146,21696,5662
21639,26209,4185,2816,20285,32473,21291,25013,27703,18494
23191,12014,6574,25840,16754,30198,21473,22197,25242,2073
30180,32525,15947,21620,14251,15906,8641,1319,24534,10907
9500,27022,26824,17898,895,1870,24104,25895,214,11680
28001,16850,10479,17954,18012,20474,24038,10080,29791,17210
5956,19683,12593,17137,29447,27915,8601,822,31661,8245
3717,14276,14118,12232,17384,1670,18928,15855,14691,22364
16141,29707,24634,21951,31260,9160,22922,18722,414,19583
9674,25707,3017,2261,26117,28739,2362,29662,15135,24818
24186,25630,28834,13819,9930,28072,26741,7537,26960,20196
16987,15280,32133,26763,12510,31007,9954,9488,16512,29647
3690,12071,8764,10456,20742,5114,13473,21260,17021,23045
18147,15388,28538,4546,18053,9255,15218,19836,14481,1435
16060,4988,32515,29959,8816,13667,29447,14645,18634,15847
22645,20143,20462,19836,13213,6453,3533,22526,21252,1623
22520,31118,1976,14235,20543,19756,1098,3273,8790,19950
15750,29841,892,2902,21890,17374,10229,5624,10609,16225
24704,19675,2817,19099,27754,17286,29632,6049,18886,30734
30297,12572,116,2264,25095,26465,17147,27441,28524,15150
12716,28663,20129,12279,30801,21448,21781,23789,16809,17197
31515,20933,7651,29550,2229,30252,31691,28578,23262,11971
15544,18961,17332,22780,12764,30718,5487,16942,15878,22066
26050,11842,18855,20793,28360,11596,22276,28041,27237,16459
14537,11442,30541,19373,28570,6713,3363,14677,19265,26335
8356,2089,11260,5118,6320,20724,28111,23178,868,15965
18508,11028,90,1438,566,28091,31033,31270,16358,3498
27771,7090,28609,22034,2812,19957,23880,19721,21047,29898
9536,16590,3934,6165,13858,27138,294,1489,6581,31396
14765,1377,28823,1510,25318,12482,15880,9035,11730,3783
8263,1980,32389,12429,3190,3363,16908,20538,9972,13604
10119,1366,19608,11193,6490,2254,21190,17151,14433,26149
30397,24541,4698,22306,16322,31312,15447,12617,31059,10335
4295,6322,29626,21621,27067,17916,2874,29794,492,21639
28746,26575,18527,21463,12741,16703,25471,6796,22441,29479
3866,8699,28286,18873,14126,19113,11485,18917,4178,5698
32418,32077,24498,15788,22430,316,21077,28452,25969,18624
1155,6066,23874,16459,21314,9823,6870,27527,2955,31887
31587,2176,16484,3625,10714,17772,30913,16763,22035,7603
