x1,x2,x3,x4,x5,x6,x7,x8,x9,x10
7988,14165,386,13939,30370,4029,21704,9790,17741,10865
25702,16415,16681,21875,1977,22240,27604,30804,31316,3704
2472,6145,16239,32213,677,29315,6574,13171,3550,19537
29501,15594,6625,28101,9190,1613,27595,7705,9916,25029
21822,2622,20083,17897,11854,14487,5974,20145,8694,3034
26104,1314,9363,2143,15426,24415,5397,15585,14687,29108
5418,28264,7390,26050,13412,14828,23452,32270,22758,18844
16546,25879,25856,9790,10159,19726,18383,15525,1505,3840
8487,27418,23770,7019,24485,10305,8533,16330,17898,29983
21673,894,15983,30869,3036,19501,1055,10116,29106,26431
22392,16954,23,12537,9559,10218,11230,17068,11266,9626
29295,9651,8604,8825,6652,18985,23343,2163,18633,1543
6075,26050,6464,11480,12540,2856,20100,19518,5956,1876
365,27,15538,25777,29183,32470,31870,15608,12673,12866
21833,17893,20756,25222,7996,20344,7170,6208,18052,657
24756,32104,4434,4056,4717,24843,15944,30551,18376,14131
29942,5885,27199,23154,3122,8807,9306,19445,29568,19557
3621,16700,17607,2612,27323,21740,23263,10269,32433,17510
11763,2986,11320,13487,6552,22162,26467,6624,31651,13866
5856,26570,30410,8402,25087,14765,12654,5419,23521,16611
29491,17591,28293,27043,14835,14493,12374,8474,302,14788
28743,32400,4235,17062,220,5318,32115,2641,2414,23251
16071,18588,30386,31467,5712,25290,12832,26346,27539,5269
3829,12540,30888,26832,21710,31229,25198,29127,4867,13027
15655,17426,501,8392,24120,21267,4308,6554,30521,3133
27340,31706,20452,23733,32405,14168,1507,28385,26704,15956
4916,14488,13868,4529,2104,28703,23739,14938,26379,474
20857,5894,11568,22775,12412,2996,22040,29959,9485,26630
18847,22993,29922,4197,27048,32234,20926,25711,21519,9914
9826,16002,8681,303,19688,10934,23964,21875,16905,31992
5005,13387,25576,27074,21408,5330,20969,19845,8013,5388
18977,17134,28829,24985,17864,3385,15140,8498,12807,818
339,3685,10891,29707,15106,8468,31581,9575,24984,13902
25521,27375,19950,7119,4035,32167,14903,30394,22790,21023
24624,13996,10816,30783,24224,27726,32053,8342,9575,22362
23,9582,9778,25528,30170,25550,8596,18838,26268,6787
23708,3054,17852,28254,5103,20862,13492,17213,23624,30937
409,23973,22064,19636,19502,10317,25068,10278,6551,13778
4306,15263,6067,1174,20148,15141,7732,15852,6047,16414
16878,10230,14611,9268,6307,22142,23511,20503,25900,14154
20774,31620,19842,16126,27210,4899,9023,17078,12130,28830
24159,15571,30293,18097,77,27402,2614,2939,345,10186
12721,1293,14297,12977,19258,10767,584,3593,14412,24775
8084,30429,7013,835,20691,28571,20622,16717,30388,2362
13762,25061,21865,5760,10047,5393,24113,191,8862,12270
17946,22193,12537,9894,26607,23596,8340,15632,7573,4670
8643,29886,21637,11247,6467,9526,25499,18828,26667,2565
22007,26683,17883,29693,3415,8975,31899,31878,29248,29468
5738,20371,12591,8069,59,20723,30311,18004,4341,23886
2068,23293,28538,5489,12554,28776,30873,6181,24888,19381
11111,8373,15080,9869,15556,14204,2675,18604,897,24026
27772,22515,5514,25366,9538,25064,21745,32025,18712,16139
19717,7361,6655,4539,7380,11707,20641,16406,18180,30979
32463,19182,10926,28366,29642,26092,15538,31667,11070,21381
31415,31612,25480,29421,9425,25870,11921,10487,14224,23907
27540,10266,17181,5718,18781,49,851,6125,17374,12655
27096,19733,20728,603,6664,19334,32198,18840,27648,6331
17539,19054,13178,25323,14777,13568,5917,8526,17712,22254
30807,31520,22182,24456,1654,14455,6563,15299,30527,7372
1376,6438,25390,15637,10390,16371,4751,14995,12266,2534
725,23858,17555,6541,19152,5180,2491,32102,1154,17596
15825,2941,11306,14290,15138,27883,14240,20309,10566,14188
15693,12756,28699,11711,32542,23824,20914,28453,23901,16707
32528,20172,20725,21742,29729,3832,9900,8562,15788,29995
14539,27974,25749,5077,8691,20221,3246,30395,28543,1875
23063,21560,11354,8628,31164,8777,10653,29256,7660,8367
9549,18696,11176,10353,6419,21440,16804,32286,996,10369
10608,13198,31934,31998,23103,17626,23583,32189,1261,17661
7110,24096,9811,19283,917,8229,617,20992,19325,17494
26063,30168,22498,20518,10111,16757,17159,17401,16869,24402
14477,3682,17345,29505,18951,26556,21283,19937,28740,16272
24467,9169,26220,14357,18943,28103,17599,15248,16151,20284
22181,7865,2306,2915,10816,24978,30031,26641,6554,28843
26042,32333,30155,8689,28825,6033,5296,1191,11639,20197
