x1,x2,x3,x4,x5,x6,x7,x8,x9,x10
12693,44282,24450,37097,8804,44218,6923,4743,11771,34636
38169,46834,37681,40583,13443,40227,33324,36340,19423,19382
21603,28787,4350,32573,11781,37700,12643,6339,2222,35911
26351,13490,35515,3168,25150,11455,16262,1750,7489,3146
40948,38480,25333,45070,27587,1119,2570,45743,28849,40535
36786,14564,30867,13553,42559,39391,36697,39202,9328,16748
20951,30559,39136,36937,47816,45564,40868,33270,46359,11480
37640,18748,39571,14113,24290,45250,35031,26824,12179,11276
27466,41325,5305,22542,12697,38298,1737,13084,2972,31240
15116,21898,5926,36602,24268,11317,4837,22469,46750,44906
20776,10455,32687,16176,30827,16472,17599,14365,14650,22416
16478,39317,36354,45182,38514,26589,35638,28376,8120,34272
24001,9453,2314,44573,35693,18796,16163,23448,31398,15436
19644,46461,45796,39397,23605,23566,16003,23464,44142,46319
19834,22047,22209,842,30460,12404,15697,16000,2919,39211
5707,34638,26905,27878,43888,8942,24192,15618,29039,17128
22280,3569,3470,47035,40687,39288,30275,7612,48405,27011
2058,45826,14436,5229,29232,23925,17670,43053,12677,10872
14070,4612,43386,14301,5531,13458,5020,29071,1985,29960
46333,46680,21105,21752,43426,47321,12902,2766,10685,28312
30963,43069,29020,26537,20340,24877,27889,22432,43849,11761
23723,26058,37444,38424,10461,48427,17733,39170,4968,33566
29893,48698,9741,39639,6623,15981,30501,46344,32803,20620
28995,19802,25338,207,27875,1980,43429,7823,16140,22253
47168,33915,39398,30617,13296,7581,19491,30193,23761,44690
45350,19348,17207,39601,45853,40679,41069,14509,23835,14007
39164,10730,40552,32502,45669,36728,30769,7442,11375,35519
35334,15504,27493,11240,31075,43046,14540,4635,25986,864
1410,20787,33004,5416,31612,14198,39701,7619,39954,18244
41050,24767,44790,46708,24618,24512,20750,40090,28966,25965
19795,29459,27762,6719,1692,37608,4408,22318,22761,16912
20638,26039,16930,45026,41507,42413,39980,13358,16047,8678
29110,45620,9653,24367,23960,14839,17053,12776,17080,28094
30266,23099,12761,17675,33592,26640,47582,38713,41331,35300
8887,26956,29421,3512,9697,10462,19584,42458,30236,24093
31731,1756,40289,21723,31272,12927,34397,16358,30280,37838
27755,5378,30599,27482,539,32738,7504,10333,26440,28290
44918,41547,35931,10004,36424,13251,45581,10700,37492,2644
5656,48771,23544,7035,17639,37548,13574,47930,45711,29060
16043,30833,8364,25366,11501,8800,16171,1737,2891,6293
18432,13268,1980,32489,3797,32804,26480,899,45182,42788
35459,7552,6479,31949,30188,42619,29918,35499,23098,46401
6669,18866,12385,14662,45377,34484,32896,24730,7795,24050
31880,23128,33328,6351,28957,1937,37814,39891,26426,31980
44793,21851,41641,47947,3511,22999,40761,32492,13448,25754
8697,3821,25949,30571,1029,13688,23558,7746,464,29126
9968,5678,18052,26521,29990,18618,29607,26813,43511,9059
14236,15736,41624,11805,7388,15110,13185,28863,29477,7449
22235,7167,47054,37359,26645,39383,18624,755,9662,8328
31037,45580,24028,36243,30026,2946,31300,38251,8075,29856
8150,33174,37470,39532,1759,15136,18350,16944,29119,33609
47904,2203,7772,14374,34603,6222,39079,35919,24893,12769
13649,10911,47188,38952,32350,1909,39297,38856,12471,1736
6963,38197,13116,34805,13162,35009,27421,42517,13093,12538
24974,720,12758,2048,9932,25152,14311,30062,26513,581
9379,9660,23154,11388,18754,32729,34549,12752,31532,44954
38596,46137,19898,4113,24007,7092,33991,13326,26021,21385
41864,18812,46391,33838,33697,22927,15909,28283,32195,19233
27612,45034,16745,16460,10327,1445,31064,11882,39457,27420
1981,22294,12003,42546,1076,4176,13000,28932,12685,2619
27269,28803,9400,19637,13557,25959,34887,41020,12485,28353
33552,37237,17563,32654,40610,24572,19951,36871,35855,15065
26739,41922,39824,40064,13971,19650,15005,12997,13414,30467
17715,1100,34947,11977,43478,13424,10368,41501,11124,43774
36919,3263,13092,14422,27795,9354,23133,17588,44186,4137
46256,17256,31265,32207,24587,29493,44081,11766,26757,5413
41159,41275,21753,40874,6196,13878,15999,43697,7462,40515
27027,28098,13591,33394,12794,16241,22291,35129,42199,31131
40397,13909,8446,9856,15235,27541,13095,10220,41730,40969
19490,22678,28448,34722,30924,19572,21904,32781,13507,47757
1535,4121,38868,15042,5530,12534,4673,44620,32950,42438
26536,30193,26742,14804,34447,14599,35913,42648,19087,12486
16865,9855,7387,12164,46356,22327,20167,47857,14190,34907
17814,10757,156,23801,4826,30344,3264,4617,4004,32607
11614,15620,15097,6588,48767,41171,18121,7079,15067,29710
38430,29359,18758,43806,898,12607,12652,22810,5901,45853
32565,19649,36729,22093,10825,19373,32383,11956,18847,30870
10452,6632,31275,17670,31335,6291,41544,46453,22909,8763
21105,34226,40132,3263,43505,28281,21776,19004,23463,4926
26311,7157,13213,41966,14783,2256,36744,27742,9404,45043
33754,31695,26834,22968,8286,31402,10734,40910,48169,30818
41029,36899,29742,23398,41897,2655,40885,7984,5512,42073
7634,15294,30323,33088,39442,18273,13616,28054,21841,20115
36013,21318,27836,32666,24460,28439,178,16440,26526,45240
37042,29504,23660,46799,1256,29552,33340,46140,44735,12450
16258,10527,6501,21904,23384,43161,32597,14138,13390,12802
15652,46715,12363,3692,17140,16399,21893,39792,40233,252
35742,27012,41032,8116,23927,21721,18740,20229,46801,8142
3106,44586,13246,4681,26107,30946,736,32598,40556,47300
28222,2339,38560,14323,2030,24159,16899,2516,9728,39606
28398,35217,31864,28791,42656,1027,1949,14537,4740,13932
26463,2084,7822,20225,14597,37825,4143,1766,7118,35694
13537,26632,40857,37206,28426,23448,12163,20007,21391,33316
1072,20736,9399,35101,41450,13499,46277,2837,14306,31547
38907,26858,23957,28465,18571,1368,8439,33237,23909,23480
44735,27824,45314,28370,32834,34784,39608,13338,36179,25832
13840,21233,26953,20496,46811,4320,23658,34489,21662,18055
41325,40948,40648,36425,21318,24831,13510,21155,3593,14591
17965,42754,14047,27330,23697,43042,2848,34191,10215,18564
21155,31079,29475,5317,9564,42603,1750,43816,28962,38476
42827,10500,13654,11574,12696,37274,13575,10343,34655,26749
16265,40089,45067,13202,104,19706,35634,11564,13934,26771
15211,13060,12368,36887,3213,31136,25032,48814,29703,24184
18588,43411,20658,24854,26287,39937,43384,19688,21527,11596
24093,11322,7599,4877,43435,21420,40530,29715,12933,38713
34356,24321,14380,29362,775,40447,13280,17327,38939,35930
17136,42082,38119,12715,37048,29546,28240,2998,21253,17215
2839,9423,27794,11675,31887,32643,47426,17312,6502,33642
13005,19792,16072,37425,28792,44844,28988,27173,43272,3439
27287,33701,34147,12175,38610,47536,45204,21843,28485,29065
14280,35152,5867,30211,17078,13518,39951,44122,43302,33357
43018,22735,23812,26749,44682,32378,35103,2823,16085,6938
10159,9688,7530,18345,22879,42396,35127,48766,14270,43848
35406,39151,24688,6989,33824,48161,41511,41606,4898,12463
5453,10923,46879,21248,21770,16372,29341,41163,16096,31622
6984,8842,1754,7831,39204,11690,20185,30039,10425,45714
13216,13113,19794,6622,31275,46745,122,6314,46575,22953
37694,31108,30769,10550,40083,13179,26298,17907,45274,46908
19543,18620,46403,43647,21217,4130,17850,18926,25372,4999
33385,296,754,21694,10699,29739,25153,22197,25008,45816
25720,13811,30541,39866,5932,22890,41054,16441,6042,13301
25315,14530,45566,10442,15916,24138,29473,22479,38169,34190
33342,13908,18965,22413,40037,41276,47519,34907,12733,539
8966,10567,17077,26917,20914,37593,44841,29485,15596,21052
39237,11079,41593,5173,42950,35487,13604,31900,33338,12492
41814,42316,35638,19718,18775,31325,24460,821,37190,34114
36694,4830,46942,44230,7050,12873,8911,19938,21921,20205
22907,41260,32380,14451,12897,32728,25151,41489,43766,24818
18414,16094,28813,6392,29976,42550,37440,24668,24041,12965
35643,43395,48392,22062,40082,29821,10697,33582,1011,12345
10907,26549,12988,14464,35159,13392,14868,26403,41212,12380
8615,4728,42303,11869,35332,14001,13342,27366,12409,29956
10302,10782,13827,30810,16910,12925,14422,37825,21687,29916
27079,47034,21951,48679,11703,5153,46956,842,5950,31990
33843,13784,17710,33375,13407,44216,5995,15842,22042,30365
17254,33639,30607,29722,19329,15374,40234,14821,13762,20183
12620,41504,42986,12410,40199,12719,12165,26856,27844,43816
46501,36432,42840,45240,36790,46796,21662,11674,10096,20887
6180,14801,6407,40924,19458,14416,13951,9277,18724,29537
20201,20167,15607,17041,10804,33674,14850,24093,2257,42198
13399,17389,54,1165,37860,39670,15420,31773,36338,11841
15926,29300,31779,12719,46855,45111,25759,30820,35703,13608
38761,8120,17601,21082,10797,5890,43417,31018,39661,45417
40635,18958,36355,19823,5993,14790,27395,23224,13372,7041
46400,6977,22738,31632,47754,26773,12382,1764,38618,666
2429,16212,5998,47779,23716,13256,23605,14692,20160,30279
34630,31838,14280,1693,18247,34980,37516,20691,14477,13359
43795,29097,19983,26616,13600,38272,7690,39089,41954,14406
16640,9240,22953,18950,13328,1696,31765,29878,45229,8685
19780,32091,20908,12381,47982,41056,16838,7754,18592,17661
13740,11602,46766,45619,20932,32308,30135,29100,22808,10317
31790,25652,28466,12204,17717,44321,1942,21943,14480,41047
662,43796,41192,44735,31535,44535,6385,46119,18676,37848
31984,7125,38599,36791,15152,30450,26418,37759,19741,7775
37383,8316,19902,24710,39135,798,1028,38461,34877,21560
29540,25684,35744,19062,16415,42001,14055,26011,30759,30055
13160,41898,41175,6842,43920,29156,36244,21184,39822,32194
8750,22676,34623,45840,40894,38892,35325,42486,25382,1191
24304,37758,26535,52,19587,42445,28943,22374,35926,5187
5328,18538,10518,41111,19757,39352,41482,16252,38623,45699
16961,26445,11241,6419,32735,40397,24677,19410,33256,13735
667,31914,27852,30747,33369,36487,12594,17448,19832,25087
39640,27406,9615,12663,22452,41516,8397,27941,37158,16018
33565,30684,6288,35113,44262,33543,37190,45757,13400,32335
32696,26749,29342,33620,30065,21423,8347,18739,38180,8946
31081,9635,29232,40749,45144,21252,9254,31623,30187,10646
38951,24419,17840,37208,41325,38589,31259,23558,29469,9595
41962,25962,31904,45325,7498,16479,17647,24777,22198,19927
8000,14816,17694,7524,46130,34906,46312,27966,16370,9542
11778,27463,34537,46399,30169,35482,27201,26284,3237,9723
23814,34542,32138,36984,43798,27852,34352,29741,41996,15587
13402,46223,10527,23329,35991,30174,33836,16005,42165,30931
38485,2790,36918,45254,43294,2265,22374,12881,32565,32261
14526,9637,12963,30993,18923,9229,11811,6392,36848,599
33985,18765,47518,15527,15927,27247,15218,44512,33994,39179
13002,38818,43417,47319,36931,20019,38470,3798,43509,28906
9295,6842,14871,14316,46712,39317,16113,42279,45297,30407
7498,33445,3200,18902,8655,22659,14583,37799,14187,12816
7408,10106,16646,26309,37502,19201,17815,40831,37862,25819
7167,36625,32630,39971,5934,14194,11245,10468,21880,3402
47931,42815,14891,41608,12529,36876,35963,43251,38937,8379
285,44394,13613,18356,35996,12792,22669,483,33568,11695
16119,13381,12888,21973,21893,40192,5714,7536,39830,10216
23571,6889,1306,32602,41819,15643,15650,10799,18860,18532
24248,18835,19320,42199,5736,14097,32684,13135,45350,30428
20985,41439,39505,30911,43470,16390,35315,31076,5502,47317
9563,7708,28151,37483,35638,28512,44943,17638,30468,18414
32343,539,21076,1832,16805,33838,26732,32297,46139,14870
23441,33313,45203,19492,28715,7700,16728,28823,33789,24773
9355,43505,46358,30973,34807,11246,19074,30808,4066,12749
4250,32178,29065,4748,32981,20736,40325,5001,25871,1693
18613,16967,5496,46362,16513,17448,46977,36886,14879,36825
18891,13823,28217,7813,19385,13030,32840,24127,46936,46927
10847,34670,35584,19645,26061,43430,12973,85,46343,33873
42262,7441,29019,48404,37211,39609,28266,30453,30915,35858
26738,44592,34128,48282,38150,15409,22912,20104,48226,26984
16861,42015,30498,28561,15042,5081,30523,34119,40387,39183
18199,29716,15130,10141,30560,9610,21848,478,26423,1842
26959,13264,35857,29591,22878,43458,76,10216,3610,23723
13938,40678,47884,37666,28951,15176,41730,16235,6666,19298
10297,40168,30970,44295,16285,22115,22788,35107,28682,37790
36445,20660,40397,37445,32621,41006,43477,9240,43145,1906
12651,6525,24900,44639,32830,2023,19017,1169,1897,19548
10748,23201,17556,19968,41026,42400,46061,38030,40223,20495
29992,14304,23161,46070,40424,3001,11067,1551,19408,9226
46599,24652,39161,38534,29918,31224,9662,30992,27571,16441
29886,44298,48128,46794,27927,14867,45618,10500,30589,40457
24375,251,1323,6693,8974,27614,36303,31730,32905,33245
46879,8914,30469,17351,25994,37389,45848,8043,14839,40682
21245,25549,4596,30742,5895,22942,36855,24244,20771,35936
10201,20163,13319,19633,33386,20839,27419,30934,38245,28066
37573,27619,18343,37778,22744,20494,41814,799,40860,21321
15773,13156,16961,38191,5867,41184,14385,18348,7063,15411
36180,11590,24616,15382,31013,8399,31462,35946,41436,7674
31086,5368,32355,33279,22313,28546,43670,23521,18525,32696
3180,30904,18185,1763,6709,27186,43632,47342,41269,35235
33629,22561,28297,39154,18870,20392,24002,5324,1091,20117
47640,23762,39111,12277,798,20151,30684,10964,8450,45877
13810,25753,46418,23928,27546,19741,32691,22696,27957,34768
40495,17150,43198,16043,30389,1024,15801,32748,26235,2012
16230,13459,21966,29459,2278,10617,30519,48757,21319,4772
21033,12019,1499,41344,22282,32607,33338,23568,37788,29817
1409,24846,30065,32599,43117,2466,33606,42812,47662,22816
33580,32368,18984,31990,27537,17969,26824,6331,15633,39315
13869,30047,24340,8872,21320,662,6032,15440,41815,23921
19790,26984,3190,30724,33694,26242,8800,42363,3588,19589
27987,33142,45171,41541,12434,31880,12248,28574,513,12985
6672,4139,16358,4140,45294,34982,30052,45782,11058,43524
35436,12720,41620,5266,4093,15971,12207,11319,11935,20110
20762,14855,36780,11217,28824,40811,3709,16647,13608,31798
1376,9899,11720,18399,9965,29272,13847,45239,8722,522
13789,15404,30958,14588,39043,38566,45739,5835,18399,24996
10252,20162,32641,42284,18118,28907,41141,45650,4276,42211
27532,4608,1048,7431,27973,13724,16362,35070,45906,22199
27510,47341,45721,6841,27051,19726,11272,13920,5896,41164
7804,10725,17166,46479,8278,18068,19056,12446,48394,758
16440,32409,15504,22380,35513,34295,45029,29200,48623,17043
38879,43675,24507,44091,30727,37445,43324,5868,31789,6170
13661,21155,29887,2548,30184,6250,45025,1960,1427,22027
35917,42973,36414,18525,29020,20684,45610,2636,2885,19216
41778,42895,33636,36786,12848,14069,35554,6933,18411,47260
3589,5992,16595,16993,26931,27174,20351,12378,19107,19614
21469,17646,28805,2206,41788,13773,23965,14157,7719,36976
9386,8240,24076,28079,36224,18434,7948,21993,4062,33173
44246,23484,28512,12692,43803,19992,11315,4067,13577,13270
13166,17545,6271,16762,6872,29963,17381,22523,12366,11429
13957,25746,6086,32227,13673,1249,17902,23728,19965,18671
20822,12683,40227,13983,12814,27062,45050,20789,22515,40744
25758,16995,8411,33815,39817,29415,21278,1997,17412,26874
21642,16589,19698,112,35016,10757,44938,22245,5421,10262
20890,27682,33851,27201,14663,24735,42439,34534,10760,39701
9635,35642,35286,33228,42264,43679,47320,32814,41738,16593
15492,15125,7991,12630,27986,32868,13679,34111,34411,38994
21081,28651,35084,15746,12424,28265,28903,13991,8723,14885
47169,44841,4679,24901,42893,30078,12217,31425,13714,45680
29774,10316,2791,7653,42216,26901,19397,35570,40865,27355
18240,1959,35477,4915,22476,4985,25002,21408,18711,12032
18539,13634,13344,12985,37240,13677,9790,19832,45626,13716
37654,15623,43955,43974,42281,33908,1008,7451,38787,20284
17319,4102,14230,44016,13134,27595,13765,25977,29906,15991
11016,26419,40436,13608,19200,16485,30557,8761,18544,21516
16769,47621,3596,17140,17216,30877,4398,14340,30918,13111
14285,12004,8107,41818,15210,23277,27503,3626,28061,12386
33379,40404,7759,36749,47480,22048,34796,35079,11444,16050
36043,2849,26209,8247,15075,5721,13505,3469,1192,17400
35199,15675,43370,4075,7287,47815,18169,21289,6584,23942
29099,15523,43478,24100,31737,20860,20682,13978,24284,16805
15077,3456,41292,24123,32372,39044,8418,4355,29474,1261
37605,16404,8966,12801,24213,12861,41314,43415,32409,13120
26418,40839,13730,5939,30259,29459,8368,34581,27181,42036
39319,5105,16020,30186,5721,34369,27475,32400,10828,27144
12358,29844,20437,8415,9742,14615,2798,30573,45335,22262
9902,39345,23395,4739,7603,37654,23792,14842,46531,41483
5686,24572,5380,14961,10210,42216,36490,32288,34800,12761
9241,4421,43293,40561,21819,23817,38712,13053,866,38453
