x1,x2,x3,x4,x5,x6,x7,x8,x9,x10
29966,12825,28293,26537,14136,13812,26424,13450,41454,23090
7098,19700,30196,24165,24983,6472,17153,27366,9275,13284
15536,48816,46933,33449,14880,38251,16013,15208,32114,35620
46754,16892,24218,29088,21143,13228,28349,5325,1188,20948
12652,7743,18979,43692,14055,26825,5380,18677,43234,47548
19271,7517,34351,10659,5398,19826,31898,10593,13406,33132
10827,48403,31272,40400,24350,3103,7757,47549,23808,13488
31547,13501,19806,22294,31535,9008,6898,17555,46417,1433
27914,31325,39962,27816,31863,13791,30278,755,47190,32334
15134,23261,18199,4397,17310,15419,20438,20973,2237,1225
14316,20612,39777,4629,39956,39447,33399,35881,25601,36433
21572,36502,27046,44178,18104,44091,18091,47334,21476,6433
16952,13179,14170,23605,11432,27296,34780,43706,17259,25945
35939,15351,37184,24591,20157,18344,13347,22538,36263,44894
11315,38711,19650,10732,39077,14046,40073,9861,3121,34326
27085,42507,12709,47844,865,7116,28804,41082,32159,42325
12459,2941,10730,2007,992,25958,27151,40626,19637,39957
32426,9962,18749,21808,30520,14314,20742,26003,4121,17945
13498,41456,27590,12688,28904,31867,19918,28723,14137,38477
29381,44869,36220,9789,1063,11042,15481,15159,29969,14458
15304,22900,14449,2788,16138,33052,46404,19636,14873,14048
22216,29906,37779,35286,22808,31778,17689,25956,10175,38373
27426,41784,43061,33674,27770,37157,39520,32121,10461,44902
6833,20368,22947,18380,35132,43829,20872,35415,35108,12813
15606,46429,34104,12649,44658,14672,10169,20376,34433,23816
12584,27440,35568,27224,26567,7376,21719,46258,23652,48749
26532,22083,28821,12912,36896,46705,11224,47958,39307,12499
6170,28424,37012,7405,13627,13976,14588,5519,39061,5423
14239,606,20688,41509,34090,30970,22235,39698,35103,6466
41410,6699,28859,8736,24784,13662,41658,21854,47044,46158
16158,32859,24015,21681,11078,42800,24786,6217,23247,45544
40702,41071,45242,16676,35041,18331,28052,29464,21751,43034
29088,2464,35566,27079,24379,31733,24761,39515,2262,6327
46487,39714,31520,19321,13784,11969,22808,48053,27969,6897
35944,13829,4784,14711,22209,28228,43411,16762,33546,1305
27706,41012,35714,7396,25145,2249,13464,28986,4200,1786
21701,22382,12839,41537,8970,41110,21154,33360,22431,21776
1821,8776,26859,11464,40828,38908,32801,40678,24681,13342
44281,40554,36739,19209,20864,13443,39170,24802,6627,21788
26234,1753,40154,42330,31519,24302,46713,9271,46610,29710
33856,27823,2235,43359,30788,32715,20270,8635,20205,22073
39532,27380,36921,4062,21144,7459,9612,46317,3482,45555
37280,23690,6490,3620,38047,41814,24900,5942,28958,14689
19300,36754,25685,18422,15736,20283,29435,37747,14420,42502
9723,10255,9524,31533,42787,34741,8869,32376,11372,13249
24154,27307,27748,28795,43821,25069,39572,31566,3740,9741
11095,23934,31956,23970,30173,11304,41337,16263,31539,15684
32816,45690,18343,13810,29063,46425,13086,32126,46995,45131
21484,35740,17917,32138,12509,21921,23090,11657,37628,46715
16163,46534,35745,31622,6146,26463,4690,32565,27941,16745
28100,19793,47194,12021,13012,47152,9967,12382,40518,42633
45838,41730,38389,18687,33407,5243,9565,27300,38451,8116
13384,26478,28418,1936,15606,23757,42426,37443,32314,561
1473,14709,23625,18619,14900,12779,27193,29764,14220,26424
43180,34889,26822,20304,30852,26091,20334,30784,34207,19733
16138,12487,34592,32477,42321,25681,42955,7601,11059,9835
17291,42750,29010,33705,41659,43869,17165,16622,37389,28311
17893,36549,28980,4336,30528,16235,22790,11893,46898,36220
15604,31547,14396,38760,5819,12847,38792,26061,12541,39157
46704,44263,16438,43294,36150,35125,55,34643,15365,12970
43786,18871,39349,43823,38416,34120,14077,9835,2085,10452
41027,22806,17555,17263,19607,39541,34351,32951,14047,7652
35272,21235,9673,26592,28365,21681,43039,9722,15402,13099
42071,28409,39138,41990,13437,14492,4468,3379,19866,4778
16224,29834,47211,34222,8624,28824,47294,3692,16125,7711
15809,13328,8867,27426,19790,36012,13151,928,8698,16665
25494,13252,26050,12653,15564,34874,20931,4095,28935,47232
16598,16635,44324,10264,36104,13600,30089,16160,2421,20740
22095,44527,46134,45144,32745,38892,35580,35564,42406,41390
29585,34312,47334,23615,14440,40637,27811,40923,30179,46899
42066,1553,31698,1326,38750,27769,26477,34711,40456,39815
19688,41032,27065,46891,18899,9299,14665,15674,7772,1721
16228,1175,42827,23788,7099,2979,23770,27314,21882,5908
17513,15485,23287,11097,33751,22561,23469,31423,21813,13853
2475,27890,26761,40416,39582,40424,26774,12696,47143,11674
790,34501,37998,13035,37203,11751,13652,39206,8186,33277
16812,203,32441,33049,37852,4120,20158,42004,45156,24620
3174,5962,38384,38709,13870,25893,16950,2205,23386,1174
9535,32159,12819,23288,33971,3418,38768,26986,34397,43536
7052,13515,32800,11654,28965,19132,12981,45124,48294,4951
31298,1578,1716,1029,24447,39640,13034,26321,43918,6518
14160,22169,15307,23179,14589,12500,36349,13401,46134,7034
45109,14139,8910,15376,27151,2654,18160,33598,2431,11105
39785,32367,18127,16253,10190,4617,21109,1343,39977,45699
45350,10807,33338,40711,45405,18401,14679,34862,12446,28375
40931,5091,27145,32776,46271,12874,28847,16485,43172,23241
47044,39138,13825,34244,14036,28804,26486,12847,12599,37492
34589,4357,13141,16119,17931,10508,40247,37383,47339,38322
5828,24256,39661,33611,11429,47548,2257,29020,42754,47341
46853,37821,34915,5552,4979,20940,44088,33656,11428,46399
4317,8898,25910,19208,21532,28575,38444,8339,18401,12586
35643,46710,17633,7394,32778,20741,43933,33697,3950,32682
42745,10645,19957,16235,27191,45814,48783,43795,23439,2603
30606,10336,41325,2616,16996,24904,45181,865,24832,6709
28408,18535,27504,16683,19726,16634,29218,1407,29210,25964
14672,33843,7126,31722,32427,18864,11150,45665,38602,21340
3106,7999,34333,12680,12943,42441,2643,29907,32492,31152
39145,14515,33272,33580,45532,4136,4022,30888,5837,5478
23181,8127,38540,14135,21797,45119,26526,43502,26357,29010
41772,33950,14857,27965,39073,13530,27277,2604,45809,21408
38206,47858,37575,25749,34795,46322,10057,43642,37273,18896
30055,31843,13680,43785,22774,28159,24263,38686,39073,40155
19065,13556,16461,15732,30407,31312,3668,13015,30270,32956
32574,6294,42566,17637,27721,37300,4929,38719,27460,4318
27354,26107,5236,12606,3978,30339,7168,46418,25443,34880
23227,45532,40950,1061,7201,45829,3687,40003,14891,48778
24211,37007,10668,16298,45048,13484,32798,11603,21543,2940
13102,19455,24639,24218,20714,14165,38462,34169,3468,29200
23655,46681,41140,33544,18788,12725,9654,38244,37407,28182
27091,42972,32860,5545,6952,15796,38169,41968,16357,23466
7509,46208,11482,13217,42217,38747,22825,12405,1209,14196
6402,13534,3075,23611,4262,41975,11468,17649,27492,17372
15652,14861,38157,40434,35087,2996,15926,28652,24217,19823
22294,25336,15400,34004,17968,37566,19457,30238,21451,45492
38122,19148,38537,31624,39485,23430,47879,18565,26912,17000
32272,45359,13494,19489,22062,48696,184,41191,2480,24765
43850,47274,34122,16231,12585,20752,44153,35813,45592,1865
9226,46473,26120,36547,32490,17254,14080,46484,15006,30884
34101,1434,26093,11272,33170,10331,32631,42282,26502,4777
20362,34128,37201,26882,36803,12430,13448,540,7501,28034
21932,4726,37057,31344,44327,41660,23963,17150,2636,44099
34980,6407,9178,34402,20888,6522,46717,40399,36127,24375
35111,8009,36576,1620,38721,31403,9534,13595,4206,33568
20441,33119,969,45834,17782,1893,12897,18773,11268,37265
36808,35312,33090,4235,45335,23954,18563,33868,29834,13304
30062,24998,48810,30776,1248,22677,41352,6138,41100,6208
9589,6251,39524,34886,21806,35560,31394,252,14572,28093
46085,4044,24077,13820,20182,27482,12966,23122,31547,12451
23626,8886,41813,43875,41886,19707,4859,29729,39413,38915
19138,22747,48170,22341,17147,19339,40946,15550,30225,36686
12798,4877,31932,28832,48404,21169,44603,32081,33618,5701
19454,12874,32120,20521,36126,24007,25569,8893,1111,2822
19833,45287,46523,41742,25466,13531,14821,38546,19793,46110
322,26353,13414,10650,39130,47944,17598,10892,34101,4254
34268,10263,11134,11847,17275,3454,7744,12638,28167,31910
19147,27768,5991,29414,10453,31721,709,27325,46857,35332
13030,8081,13106,2773,7454,308,9856,14615,32677,23658
4635,31405,26044,35126,46109,11194,41056,21193,47551,27602
7638,35676,20606,23817,42370,40608,23688,12590,32950,32822
35902,8316,5325,21783,20486,29381,23723,27546,40635,40603
12954,44670,19823,25010,23526,19939,13838,42561,11188,19409
34369,20512,8450,31915,17090,12602,16270,9359,22021,38687
3867,24365,6406,13365,32229,28476,4771,6338,37652,30726
19323,12267,16436,7796,36078,7775,20298,34859,45617,36181
32734,37264,23605,47295,39978,31694,35266,1992,44392,38531
24629,19338,35599,19316,17026,36544,1761,16938,9185,19712
17548,28267,47122,668,15107,3401,4422,35298,25946,602
32912,31251,18612,23427,29066,32350,29344,37474,42345,14508
17389,22094,23452,8108,18122,19193,47523,7618,34411,27940
12765,36785,14639,13905,4111,12702,13863,42239,18911,27452
1236,15175,2963,6472,24596,5796,13722,14993,8904,23098
27719,30259,33912,18169,41825,22214,1296,3763,6535,17035
46260,7692,36145,39339,43957,22308,3768,27979,39656,43794
5991,40176,810,5301,13313,19990,31816,33413,13301,27362
35924,3440,39955,44855,17943,27945,17223,44616,3839,24349
32749,20220,14033,4901,48112,28066,2273,43042,685,19329
43124,29489,26627,10020,19573,21882,14696,43209,31282,7535
19136,4009,1751,30716,46732,33773,14326,29474,16573,12685
13748,14172,37579,28081,31394,47755,28385,29286,43642,8157
8415,43824,34208,24090,28834,33868,13634,7430,42914,38871
5260,23661,34305,43704,40652,9386,11879,27235,42862,44069
4067,13364,13589,25774,29025,26317,4416,33232,30571,13878
31546,19945,8113,36527,30189,6316,8314,7717,37812,33558
2543,45131,19280,17175,23957,38493,39122,11585,39122,38374
42393,32952,31694,45404,15362,2844,16594,985,18082,47909
46902,26832,21350,30769,40005,30268,8848,33394,31225,9991
39178,31153,10140,5088,22973,32989,20452,29100,16846,48024
31917,44200,23601,27755,34585,36117,44586,12723,41579,3031
34501,31398,43386,21818,25911,13741,21666,22263,8000,29450
15945,11129,12631,20674,34373,41344,5934,35305,12363,25831
15922,12996,11980,40162,38589,44934,41455,44282,35132,12478
35128,43213,27187,27946,31345,44259,38958,11837,9033,7998
44385,16133,3739,11033,14579,45300,7216,26813,40903,39979
33994,32362,4257,13664,44386,23470,39142,33783,42270,20727
13369,31009,15962,1492,18816,27066,20621,27824,20239,34786
29126,13217,13804,37425,45353,17683,16921,19936,2003,45683
2551,9451,3551,15468,30069,23169,22216,25296,23604,13478
40678,18386,31603,15018,45362,34551,276,15983,34574,23815
45866,44753,42315,44261,28251,19774,28078,16199,37147,29421
28774,27520,31894,17360,32277,32302,35881,44291,33787,44271
14890,12496,24762,21835,22829,35665,40772,12913,27786,7654
45583,24030,35127,44323,41724,38582,119,29479,6870,1424
39209,45190,22750,26292,12835,6869,23470,14295,10481,22962
28558,11472,3743,14984,7745,14977,22772,33396,45912,25165
2887,32125,17547,32060,16083,36566,3433,30559,22678,17282
13235,30557,30935,38033,12871,27771,8429,39417,21277,31943
6432,30323,10843,34229,30442,898,24073,17644,5981,17585
696,4481,11717,7769,1328,11327,22202,2916,2844,12235
45169,24157,3240,46897,19706,37573,40682,8732,13770,43819
43425,46792,44872,31314,36826,19004,4896,10343,5091,3771
14661,12630,22203,12619,13878,27461,13462,2341,29477,45857
38019,40062,32891,24375,31290,43507,17420,31794,28518,20512
44552,16176,38942,25992,39289,13051,41798,45240,39568,18653
21557,15845,6464,17358,42399,5344,23573,6279,26784,35307
16605,47028,27914,8153,45246,34115,16593,12842,40063,12178
41091,21472,14324,13939,44295,30089,43673,24876,11285,37715
9632,26082,1815,18224,24908,17537,34606,38539,17691,11930
41574,32681,7550,31020,15163,29993,34240,26520,37481,23789
24908,12377,42053,44533,27306,3318,31520,22807,24848,36802
39702,33868,44300,13925,18279,1753,5793,43649,19942,12473
14550,8572,10466,36368,39404,40548,12480,39567,17780,6340
10830,36259,33392,22899,41864,13587,17583,8897,10277,23360
33080,16075,18696,6138,37704,41352,38494,40917,12444,11707
27614,7710,48756,43616,44533,4671,26081,9855,46136,18111
30169,12016,29422,36523,45361,452,5876,29285,33264,35903
21695,41314,3771,12478,44849,18696,250,43161,8604,17370
33931,39004,32811,33298,12662,26347,22396,1249,6571,44332
1350,12797,40191,21857,12569,6565,12931,35595,27811,36198
29945,9814,31885,14661,25794,33080,7755,42094,8655,17031
29699,27919,46534,12995,29729,251,9915,22972,25917,12634
27972,45809,28617,31555,30038,45532,2907,29099,26008,16619
30652,5350,22661,5721,3491,15904,14819,5578,5424,24094
47293,35186,41388,39568,40538,41250,8374,21313,27313,40434
29302,5902,47024,14279,20876,15367,35541,21471,1736,30749
42873,31557,14878,18233,44835,34754,25174,38434,10210,42504
4442,13822,20431,42546,2264,7828,12983,44940,32567,24591
41206,41164,34531,2918,15915,40615,43920,39991,23122,43435
38464,41321,32380,46352,8952,33104,15461,26971,34970,2091
19735,12608,30697,24761,24142,22415,19608,37501,20726,39636
29331,28239,36353,8735,14021,24175,4077,35715,13409,36115
13245,28642,21734,6086,45412,38320,13382,25924,45224,10300
43911,34712,43278,40197,30869,6123,16159,21929,255,12639
10304,26423,2474,21836,6624,18168,36062,16647,15653,42235
14215,11741,11862,28897,23990,34512,39495,3691,29116,12621
48814,22084,28649,18612,4378,19005,25945,15684,35499,34586
18762,29727,38131,11217,36796,8291,22197,1128,22289,22721
44833,11395,36771,8974,43070,21931,10304,35673,13648,25953
13893,7706,6423,11192,6477,8825,19559,17723,6223,23819
19982,1997,40300,22427,42363,44320,17261,32277,541,30449
