x1,x2,x3,x4,x5,x6,x7,x8,x9,x10
23420,27173,6923,24540,38630,43480,46078,36162,14956,6540
20693,28650,46710,22791,43524,1926,37492,14139,8397,8450
3087,12031,1801,46391,36831,14432,13432,29305,44546,13773
30918,24065,43904,43839,23726,26263,8084,37591,15614,41993
27694,25943,14507,45535,17691,36858,19648,56,40688,2988
30513,4906,10582,37825,28839,47205,41314,32361,18866,35431
11698,27343,41575,11254,24624,39072,17617,19648,840,33673
14892,38764,30338,14165,13493,33987,37164,14368,33266,35891
44752,33670,37760,21821,31310,33825,22009,28349,42417,32715
12362,6848,12901,24212,17118,16164,41230,46718,27727,41069
30758,22889,15391,19956,36822,17745,6517,26394,44614,11923
29110,27869,407,9335,20813,22929,17047,11434,21331,28652
42763,18676,14121,12412,29931,21294,17956,46875,14063,1166
14672,11880,15802,1000,34232,38911,32273,35925,39957,19371
6229,45622,20442,406,15586,45201,35322,41229,13841,45047
31383,22288,20297,25822,42939,32829,41896,23716,27533,19990
45577,40948,42408,37747,16828,15668,27253,12487,13085,38659
45580,39592,28445,38414,33816,2043,36922,23990,27435,21454
33617,19958,36810,19441,11643,22095,9280,39085,44801,30277
13748,42269,18862,32145,18240,36964,12460,43129,45223,45622
13032,36588,8044,6964,21941,15946,43828,40043,21542,13032
3692,13714,27817,36567,18125,41369,6921,46490,21169,39648
11190,29114,39335,33222,1415,46856,32417,29466,7696,20999
12518,5888,33824,26328,28456,13030,23955,30416,3235,15518
35211,8009,19613,43898,47289,36369,7989,13637,35300,45126
26217,28886,32412,11708,9541,9635,34363,33444,19194,1494
33995,32417,38701,41031,16792,41729,12876,35554,13431,23811
41579,16060,2359,33392,42079,7623,46065,28050,32436,31769
14542,13232,34012,16180,16932,14190,32915,18884,6602,17947
28323,14858,4406,11935,14513,16431,32586,3220,23457,35305
43718,9026,10763,12491,47196,29523,10631,27288,41525,9864
36934,18180,32641,32169,12644,25833,3214,3436,9059,16259
11442,15547,22516,16124,39974,8669,34330,12927,21730,34267
28249,12797,19793,13208,11289,23288,44183,580,13465,24640
14145,41897,14187,28817,28160,10182,22910,33600,26591,6964
22517,46330,41446,14151,44669,44602,4338,33694,42318,4221
5219,43174,26092,36413,16804,21349,10757,42821,9271,2255
33414,10549,41502,38980,39937,13063,13882,5787,21765,31138
44652,18064,6197,37600,46717,43535,16947,38500,21269,7947
32143,12652,37158,23228,36832,16594,1770,16395,10256,34551
33841,12838,42971,39385,13655,41924,15829,18095,17616,13783
23728,19379,21532,21293,17616,31942,23796,15755,8238,7529
31844,32859,32584,23914,34752,46882,16913,37039,45554,26762
12536,29920,2283,34415,15123,35178,36370,8640,21945,11151
38121,18894,9317,17598,25749,25325,16581,20719,36601,16612
