x1,x2,x3,x4,x5,x6,x7,x8,x9,x10
3110,909,9022,3020,31563,15187,15002,22414,4164,32459
17955,26218,13680,20910,19971,8975,7778,30621,7899,22129
32487,6608,20170,22547,8914,13015,23868,26173,954,19504
13228,22518,24026,14835,18814,5631,10726,10421,21086,21751
12756,19361,19574,927,8068,12762,2810,20806,24142,15915
17755,15089,619,12340,5610,19568,8117,25482,1111,15318
15535,24450,7012,31966,2654,16385,5118,3879,24651,13635
29955,16868,6913,19598,5731,27567,26846,25424,13644,30638
23261,21487,16805,11916,15322,11091,26816,1073,13709,31231
3593,19154,17601,14990,20600,10934,16924,3680,12690,24723
19347,15864,28729,480,18271,14263,25840,22672,14628,5815
13329,19813,4918,31189,4315,14861,5856,1201,1177,2030
28912,17792,4032,5162,27266,5671,8104,18669,10608,2556
13418,6483,15857,22324,21757,21783,19334,26310,24140,28453
22455,25859,16137,31435,29267,25209,17493,17692,12141,14478
17862,6962,7456,14145,1071,29028,18783,29771,24497,16688
23339,11545,12769,8681,6220,30674,17463,28077,21510,4849
25697,17325,20964,25570,9857,4093,25335,11375,3863,13109
26076,7966,12568,25354,1839,9801,28369,25666,4704,13514
27592,30389,7902,12113,20080,2327,18023,29878,21343,24839
17373,1135,25608,2233,1021,1453,22720,14294,31128,28940
26614,15425,30527,21584,7074,31773,9480,12279,11576,8160
21165,3186,15890,24215,12978,10627,22640,18507,3363,21562
15494,19743,2719,23231,27428,14266,7353,12425,4994,17740
26427,17226,25462,19756,20160,13189,26652,10178,22180,26524
21553,8957,8351,23403,9008,1323,19214,14342,24253,8735
14916,29421,1786,31245,7031,21805,17672,17596,29635,16909
28193,1996,28362,12119,251,31380,23262,22591,24381,544
14674,3445,21047,895,4872,17240,22399,27049,28292,24156
24128,25852,27434,27226,15228,13128,4857,20309,19729,27221
14677,30031,17424,7934,5941,7194,18152,18471,17737,15334
15801,17555,10465,18930,32318,19497,944,15127,8303,7698
21754,20835,16288,12680,27084,9769,22153,26337,8503,15644
3515,8047,11750,12640,23852,9865,8524,15651,26323,27537
31709,22536,24443,6080,27633,31795,12257,17051,23705,10444
5642,5764,12108,14001,23712,13710,6960,4116,18890,2631
26748,31886,9123,3265,7460,24272,4618,5490,26716,14815
31046,11538,18255,10628,23008,23344,23382,1055,15566,13966
5777,10952,32430,27805,30313,8885,2491,9182,4751,26186
11183,23987,22569,3012,29322,8268,13100,28543,28622,7771
575,5118,6942,4185,16246,3821,1088,5873,10178,8939
31503,29777,15556,20318,13113,23983,1305,25425,20537,18066
8443,7044,21481,23860,28196,18149,12120,4990,26982,7801
15701,16643,21241,26323,9842,29852,4048,27644,11784,12888
23489,21710,5820,13137,18982,1055,14273,16539,23570,21978
10347,22769,14822,27600,16702,28098,523,13351,30103,12627
