x1,x2,x3,x4,x5,x6,x7,x8,x9,x10
19982,19574,366,5536,27838,26065,15753,23178,8628,18222
19856,27825,9798,18374,13303,31706,5930,25553,28566,11013
17032,1548,28676,29826,22236,30932,10808,3165,9270,21836
9923,18586,966,26250,17732,111,13463,31507,14419,31680
15111,2321,10589,15619,29845,13228,3663,30921,17845,3248
29178,4104,11466,13934,5547,11152,10912,998,19334,15326
2587,27582,9158,13580,4565,8237,5875,29694,27644,27047
7521,29524,22754,18826,21325,11483,18368,21100,21424,641
7359,18080,9027,16333,5862,27237,25509,16681,11345,4185
2599,16685,20479,20956,29182,23852,1014,18588,749,18476
25560,8021,8918,3987,5824,12383,1210,28940,2099,23529
13162,18852,7266,18690,17387,5486,7203,11836,21181,1297
29274,21168,31306,18284,31105,24207,21986,16000,18234,1779
23032,4549,8912,2719,3309,7100,21908,26101,4846,10060
27613,27692,3165,23913,6897,28537,11619,16276,5330,20569
7624,10849,9063,12854,11758,10494,18678,3483,31927,16930
16580,15352,6556,26862,14248,31435,2472,28412,28039,23649
3682,10242,3948,4788,31287,19219,6468,27023,23553,20464
9296,22301,23859,18680,30363,28264,16633,14447,7870,3413
24320,26243,15877,297,13779,8550,32221,19474,15188,3423
4045,32260,18463,1666,2582,27445,8102,24894,31949,10108
30284,45,16843,12031,29742,32075,24105,23964,23425,15152
15981,2081,24930,366,20240,9204,29470,5582,15291,23618
20522,17508,24490,23113,9198,12468,31576,22667,4115,5144
1445,2073,29865,14152,27861,14353,12448,12411,12202,12563
31843,13278,1612,5854,18183,8188,5601,23689,12248,11640
31461,21501,24064,6669,9273,136,7085,13146,8477,14452
10494,31231,4097,1341,21529,27956,24976,7557,12232,14192
10188,9276,14674,6125,30034,1506,4045,3993,9303,29977
4894,16078,26906,22738,6180,20702,19786,8814,27832,11039
7557,29327,21301,27517,12540,19536,28585,12261,31099,31060
3398,1319,15240,22334,24119,3906,14104,17432,18520,18219
21530,1674,18738,12912,1079,20134,1689,10055,8478,32308
7093,10426,23339,24310,21213,27,19530,27442,4571,17871
7409,16430,25458,13413,9797,25413,23164,15250,21467,18814
1881,26199,29748,4188,7678,5792,32375,7369,25229,27976
15341,2935,7724,17725,19022,14919,27796,28751,21290,17116
24365,10752,3111,12885,29121,21725,10901,11897,8320,21138
25961,13460,10817,5478,14533,29073,3410,4961,11750,8833
29295,26100,9994,10790,3578,13329,23990,2681,26665,13178
28522,10009,12970,13310,3639,14570,3349,18367,12943,11814
11530,12393,23131,10290,9241,9435,30284,21418,8814,29122
28675,30231,31909,30405,3818,26465,21884,27289,1594,23706
26186,3386,30407,2647,31207,25364,26513,10116,3238,6625
29061,30585,8953,9890,2643,23377,29197,28077,22696,8778
20699,27532,31636,32318,29227,1824,7402,4565,18888,1305
21193,15812,962,27650,24322,30233,1314,2497,16978,9661
1135,14802,11640,32389,25840,4751,23922,26623,15120,2470
31065,30639,26638,25480,11074,31100,20160,9526,15812,10268
19611,4680,19382,27324,18471,31080,21861,11428,19108,15089
15785,2085,20019,9093,7253,3614,28550,22547,25914,25799
1101,22003,9464,23119,30653,23518,30610,31970,21205,29264
8366,16342,9282,19654,14415,13162,23709,29505,6546,18275
17124,31743,31870,4685,28196,27411,22546,11,16412,1043
17455,23344,28743,29440,19862,17157,2887,30205,5930,15677
8027,372,17286,13317,1323,17330,30429,23078,21826,5902
29099,15709,4588,19453,25560,15738,194,19196,11784,27508
20216,20165,19717,5306,17179,25914,25359,6206,5754,5709
8340,23694,15791,28270,16343,7084,9564,10438,8340,2049
27213,12584,14218,19185,6488,6003,7643,8013,3614,27956
32326,30079,8394,1881,21791,3733,24424,12016,30477,8919
2852,1473,17461,3260,10188,18492,20148,133,25906,3365
27735,27478,29668,28743,7372,22557,22863,29415,25187,21307
16342,19805,1912,435,12693,32052,9764,16109,9306,3260
5458,13954,12762,28711,7062,16104,22285,13389,22555,10255
8994,13352,24806,18283,18300,32093,20546,27758,21060,26667
18975,13137,19794,18311,14680,28695,22564,16861,2556,2233
6569,28748,21162,884,9894,9469,27124,10171,30973,4404
6019,8724,5159,14120,7855,31357,22398,25395,7654,7317
13455,24272,32144,15546,7288,20649,15273,17421,11254,8152
22236,30609,15061,25019,15213,20083,894,7757,25065,11401
5192,18665,14420,28246,16032,10482,28183,5175,17517,7934
1281,19862,26462,10328,14915,12381,8472,4024,4507,1566
7893,32438,24209,7629,29484,28814,15408,2287,11066,15961
9751,3831,28337,3619,7240,1164,10007,31974,15979,22657
27592,4445,21641,6797,1998,18034,3393,16268,8682,6061
30027,31151,11511,24597,10827,21993,7389,7008,26069,12323
3655,9878,20837,21393,21867,22610,28231,6720,31630,29694
24735,16414,21891,140,3575,27572,12630,5610,22792,4634
28322,9564,1227,13469,17377,697,26906,15481,6674,1648
3076,28606,16109,17446,23419,22906,2334,26980,1437,8153
9386,29605,15915,23661,29576,8761,6743,16403,881,31122
8268,745,17567,10857,26880,25288,55,25196,27035,24972
24791,12978,32350,26387,1445,1612,19347,19219,29306,32238
8119,19536,6191,13099,25850,28329,17216,30735,27678,27947
25014,20976,10707,10772,26396,778,25147,14273,18383,26135
28397,8927,15448,15475,27074,16623,25457,25911,1921,27645
16920,29620,5437,31245,719,15619,15248,17338,3908,19088
26865,13558,21261,1060,32234,24762,12539,24452,23310,11985
29867,12994,13407,9715,31333,1841,27643,5639,16543,25284
21201,3388,1219,4507,18686,10457,6390,17346,5717,3107
16246,8953,20512,408,32364,31925,4747,32271,15005,30410
31282,10150,26202,10762,9720,13427,29576,29136,30123,26689
2233,3225,11542,31611,5657,17059,408,28827,29145,20751
14187,8368,12323,27200,27068,18575,19773,9932,14478,27289
2522,4872,3230,8773,20168,15382,32513,9144,31047,23211
29046,13016,30383,21733,30258,12477,21331,20854,13868,29841
21013,16107,18014,7674,14445,883,4115,4433,32364,13329
23106,16759,4636,5296,23521,20005,14437,5197,11428,18840
28698,29593,20986,9865,13012,7811,2404,11254,21966,5058
18588,30783,8955,14275,2850,27592,5873,30476,12107,14207
30375,20119,12044,27832,12542,28536,11612,12862,30178,16708
10619,17053,6419,25824,8072,15878,15744,17760,3071,21599
30277,31076,2802,31742,2602,7103,27585,29638,19084,23501
4523,14680,11395,7811,15878,4797,27048,11916,12668,9647
30758,10046,17451,17429,31881,12566,4704,16607,32203,29147
11620,8474,11026,18123,8781,8713,15470,6487,26072,29327
25242,10268,27924,25809,22196,2683,2167,6024,24065,24497
26876,2237,1987,27924,2887,16248,4495,9564,30211,8558
8394,20855,6724,3540,29548,17480,13707,6160,30391,20552
6352,27637,13010,20093,26941,30273,12000,22194,12031,3518
27352,4545,9619,14336,9640,7053,17397,14796,31148,21147
12023,7745,3786,17200,5959,29755,32076,13069,22890,20411
23976,18875,15736,2304,23339,25023,15571,27626,6750,2404
7207,11424,26893,28363,17804,2243,7668,10590,30010,6530
8104,18337,18326,27434,24281,32438,21902,21772,25419,27771
24527,10667,12568,6580,17398,26643,16326,10996,21283,806
8373,10663,17331,17846,2953,18265,26347,14250,10062,13509
21263,2282,14367,21715,11687,26673,12591,23562,17533,30103
19479,27413,16300,14277,24045,15347,9777,12450,24306,24891
13109,6573,63,7001,25802,10637,15513,16385,535,1996
5680,21080,5417,2560,16960,28405,16137,5026,25470,12726
14464,628,7432,19006,20164,21063,29056,2645,12006,28751
13811,23209,22671,1101,11028,21116,12497,2624,15100,9028
936,11111,13539,21181,20902,23359,9468,6362,4433,5118
7684,11185,8779,21418,1545,26398,18809,16806,3568,21424
16778,15629,8000,14779,2939,23017,7337,1145,16254,25399
1002,12015,29787,18642,21036,29061,24565,24184,354,19845
10951,9966,15577,2850,12114,8778,7169,27220,28346,26150
20343,25135,28128,1407,15698,732,28349,28354,24778,24272
8981,3674,15477,19765,9629,18785,10793,19790,6843,13511
16702,23070,15979,6582,8267,20662,9321,116,5002,18879
2598,14253,32409,11144,8152,14283,32033,6384,24572,21270
6355,10127,22732,7724,11483,15812,18853,17905,3321,3654
15002,4950,27413,12340,29525,9482,26209,30521,4403,30400
6170,32554,2325,1136,28256,31220,10409,13557,9325,24310
26010,12814,30873,15119,3838,481,21634,5154,21226,24792
12745,3865,17867,8735,29780,11302,10269,10600,18785,20860
27124,18013,5555,22812,30994,31198,5530,4249,25581,14063
21550,24023,19132,21333,15714,21398,7690,24565,14958,24419
24641,22219,13099,24680,21551,11717,29432,10353,18566,9422
24691,26217,1963,14815,21713,19154,32222,8796,24770,7771
19189,20093,10365,13419,5008,9085,4918,10815,6969,31488
2973,4945,4657,4921,8980,15326,16106,4634,17398,1832
15405,7441,23554,4815,26742,7088,29717,7290,26843,9703
3071,4411,4552,5479,26466,11530,14229,24549,1154,28765
13419,4755,22555,22206,8223,23397,5329,21198,21414,15668
14445,15971,17067,13571,1297,2339,2406,7095,4961,3540
17986,17675,24600,12337,23552,11637,20339,1922,10672,32038
24281,5278,18704,17307,17232,4680,28214,14397,4967,26303
22288,22018,9865,31528,6911,32556,30991,15023,4736,10658
19765,15369,8051,3536,29771,14143,2923,10808,8849,26937
14283,27037,7973,11919,29722,10061,3550,30690,6197,11091
25742,2799,4271,10227,5880,21511,30865,23913,21279,2109
18879,25444,23701,12023,28451,29431,18180,31232,21029,19417
1713,26428,29760,11059,19334,32210,6189,11930,13287,4675
17867,8478,11707,32109,7931,23398,24442,30752,12659,11710
20782,11653,17120,14910,76,6964,17500,18463,1998,3993
14182,23595,9400,14863,3966,25263,32455,8508,2580,3203
2404,1414,21180,15220,26498,23844,17006,23849,6135,23381
11111,23384,5610,20044,24547,22893,29780,534,27229,3171
15275,29379,9266,18806,26862,9070,28557,21634,5767,25320
11114,2753,16814,12547,20216,28607,30470,7019,15325,9242
29701,17640,29306,8954,26242,8808,17404,17002,19623,28819
13105,18468,14476,2507,5287,24614,32198,20735,23313,6033
652,6576,17493,30940,19615,24481,6750,17640,8073,4972
7493,14934,31340,12174,19519,193,32172,11207,29047,15644
3595,22454,6473,30109,7393,26816,28255,27499,12355,29143
1877,240,13130,30231,2245,13565,28561,5430,6500,12411
20098,29181,23370,7083,16485,19046,13180,31764,24378,22206
10284,27687,20806,25038,21027,6488,15063,13079,19142,17781
12756,25062,28245,4230,4847,10815,19130,31400,11975,17924
32552,4537,1448,14008,7044,32545,10425,22614,32156,5717
25187,24659,5816,31877,2158,6659,9994,4376,2833,16684
26575,17461,5709,27413,11541,28390,12383,10107,21058,2157
22251,15664,17620,316,7870,28342,2576,3012,16869,30975
11082,22787,13616,7986,28790,4646,30292,32057,29002,29608
24397,18530,19621,2099,15039,27464,27645,20222,14104,7699
26862,15718,27709,1812,8393,31151,10350,14148,16145,16352
2073,27663,3080,9373,1482,11475,31390,26353,18080,14821
32519,2624,24510,7194,26339,4137,5201,8919,20510,24306
28417,10744,15921,28588,577,15018,29230,25596,11909,4523
10359,28807,2201,29553,8088,10808,13348,2103,13262,28746
991,4381,32238,20368,24442,31968,11521,23108,15311,20288
19275,21908,30065,3733,15218,20835,16919,16389,14781,13146
16183,16254,17796,7718,8525,4285,4467,15543,3451,19615
18373,10887,28571,923,25124,24447,12617,29661,14571,1786
2269,5099,31730,20407,20689,11802,15955,4851,22639,4465
30923,5929,17999,21852,24523,17325,3396,4374,29849,5965
21527,18693,6451,23231,13039,18959,30746,31257,20888,29811
14681,2652,15090,6941,10552,5456,2325,5251,13572,29576
9429,11324,1625,4381,16303,13523,19654,1709,2578,11850
7612,30482,32130,3132,14537,8954,14617,4335,16979,26249
25708,31348,25646,7527,29087,17540,13593,23313,18320,18912
17804,31986,5039,10983,27613,4523,9909,14229,6548,30391
13312,3538,10748,21938,5943,15253,30870,23004,4311,21618
3230,26059,7143,10767,13148,6933,12049,17730,6490,42
28706,9842,20432,25154,11321,14596,12090,12325,3797,4671
21206,8849,20858,11454,8091,21302,19707,32295,7359,23004
29840,14903,4054,2198,7371,63,7296,14154,26498,9338
32502,25461,23366,9832,18453,2866,20829,16979,29585,32510
20083,4405,11725,2355,20493,20169,3500,11760,13934,12818
31881,31761,8081,20649,24191,19460,12425,13236,10766,14828
19448,17893,16657,7513,23209,8050,19046,13616,2956,10375
24254,5098,7203,1679,28510,8836,15090,206,23979,5673
30145,4875,13765,26300,1437,17366,9828,30046,25858,5841
21357,30099,24936,21453,8060,3022,2507,6250,19499,1723
8209,30758,12109,12625,4571,20136,16320,1220,1783,238
4875,17500,16761,19103,10611,24008,2321,30527,12817,7461
25881,25065,23938,10667,27285,25976,12031,1591,24366,19250
16963,573,5707,20854,28203,25222,26166,18595,27758,16557
22175,19931,32522,9739,28720,31816,15192,1351,3274,24839
5038,1512,29857,13262,25762,14665,5848,2345,23491,13109
3323,8910,15421,13290,14443,1769,25108,30966,20857,22375
9249,8594,2149,2194,68,281,25498,24300,18773,3318
20165,25909,9323,25156,14022,31578,20210,25614,19302,26007
1250,15221,29194,18890,20464,1318,26982,21249,9865,27692
24958,21180,12612,16403,31060,18893,1666,2370,16461,29840
24561,22078,11289,1670,23733,23998,16861,27953,31227,18571
68,14741,3993,26074,14118,4592,18125,15744,31139,1348
15150,9396,8454,4761,24465,214,26816,9811,14251,10673
13074,2403,27789,16684,27968,31163,7805,1575,18179,23904
8836,29949,5058,11739,13192,13208,4334,15090,32372,8139
13186,5008,5036,28891,22702,19426,7583,29260,1585,11106
8767,16861,20367,18739,27106,21457,31126,2318,10757,23615
28711,57,11878,14035,30173,1308,22696,16918,15998,9686
9701,13983,15931,11929,23404,8065,20569,25688,31290,4201
13238,1109,31936,31633,21081,32252,18471,29626,6996,13785
14866,25027,29740,30322,5728,6200,6387,13810,27655,7296
8459,10920,25549,265,5748,21199,7553,24673,1319,10423
2228,28765,23190,18883,25914,12803,1696,2352,24988,30521
19584,20795,14126,22121,15964,30485,14846,22956,26159,16811
22847,31007,16920,11064,27670,24125,21733,7398,2902,30802
14878,21657,14932,10479,24394,25828,19677,26526,12484,16627
23184,29996,12478,19333,3218,26426,13282,23391,16128,29767
25190,7029,32268,22847,11219,6248,12631,24764,30783,15968
16018,5045,4634,24723,28272,29624,9827,14696,16832,14873
31434,632,21805,13329,25963,12689,5487,19492,4789,778
30283,29986,12259,5796,29605,6046,5264,23184,8508,18722
22011,3735,25633,25894,8490,8038,12047,21163,28329,9676
27283,18437,22548,24561,20256,28462,16631,27946,12688,12625
19216,14992,25361,27963,13511,7530,27493,13005,11064,28778
31486,23131,29397,4002,30918,11829,6614,13317,4634,4411
16640,14554,17240,2063,6906,9079,1459,28803,1674,26515
31257,15201,27517,28012,21512,8710,7263,4897,22807,9755
28622,8698,14691,30578,2068,1648,13814,28561,29155,31836
189,1123,4961,9204,21104,29657,1297,20318,4632,15571
8811,12762,12781,10108,22060,6143,1068,6960,3164,10331
31801,16081,6792,15801,24101,28272,18,1430,6482,15420
15767,26396,782,24339,12718,29065,11597,14051,22590,22812
7975,575,6972,5123,13514,25845,15857,16995,7464,23343
27771,18471,8748,30372,10493,19345,29117,21280,28354,25809
24447,17228,10529,5552,918,10759,21240,3880,2800,9716
15077,13042,16721,9582,2157,29236,10096,22041,15528,30852
21321,31409,2240,6483,1463,24891,6849,2495,4048,1875
17085,4475,20736,4704,31743,5330,1771,6382,11761,1185
10079,29227,9089,28379,19028,26557,28267,13506,23702,30058
21338,21038,8234,31361,5236,31907,15586,32210,24233,6447
23101,8144,30239,26418,19861,18399,31456,2780,10688,11362
