x1,x2,x3,x4,x5,x6,x7,x8,x9,x10
42269,12877,14464,6910,4640,27379,11244,38058,7515,10204
29991,42746,36870,21876,42581,41900,26392,44181,43650,612
549,24726,5654,4908,20839,32423,35758,7791,35760,34433
42861,11889,27083,34082,28585,38130,29475,1099,16395,37772
17684,22887,4396,42324,17796,30808,30476,45148,13813,13009
29018,42547,15109,38470,29234,32570,25557,13615,24759,24718
29992,15844,23226,45575,23685,21756,4666,35431,10298,21143
24055,29228,25705,2919,39384,16760,41665,16839,42199,39647
1753,11818,2548,10233,16268,26001,40740,32248,17899,45633
7168,37425,37210,8593,33705,13676,33299,13534,9032,34890
22259,4636,19747,37479,1413,14806,40531,32724,2475,7793
25802,29221,41350,35003,27711,28554,45613,13773,152,40538
28785,22213,44190,46138,26233,1944,14777,34276,23643,21424
32424,39334,15191,3072,34807,31125,19824,15613,21506,21386
36362,6158,31475,23440,32470,43128,3009,41252,39108,37565
41655,23540,40593,24726,18103,39074,36470,43895,12709,33654
47842,43039,13636,18081,44857,44547,47359,20932,3609,27380
38684,31519,31455,17798,20649,39991,43156,14268,24216,14185
24743,19793,29255,27194,24210,40841,30331,44572,22937,9225
38965,7489,31784,21185,8208,34421,32607,15904,12948,30691
26590,34656,6392,15594,4434,43804,20802,33829,45150,46110
1770,18569,34013,32475,21788,31632,32656,23936,25374,38131
29355,12923,4709,13891,12709,15595,40458,4072,2604,29575
46335,40148,16186,8159,38486,32264,38251,16390,3770,40530
37852,43429,28832,40082,44076,15160,16709,27901,20817,27974
29056,33081,37469,41292,29960,29763,15403,14254,17677,6678
23615,32853,3596,19886,24186,37156,45325,22695,12873,26593
24806,5826,31950,10031,35592,17118,6473,31275,6162,10170
24568,19645,31694,19686,15830,37154,37787,37772,34295,33127
319,16163,42911,20219,14382,30426,8825,25793,43537,45245
27874,11732,24780,17564,16622,11246,27419,29351,41944,18801
45610,31470,41529,13918,32233,21135,6294,35120,21724,14856
32852,36935,11804,32896,30001,19895,23771,5120,31934,31973
24648,15519,37671,11996,29263,4999,36975,13560,35944,7586
38907,14093,31867,41899,1048,29042,7783,10840,35248,5423
38414,27968,45858,12447,13825,41251,13670,30553,10695,15516
11285,1866,46905,13024,37380,13983,14290,8953,35716,34333
27882,33653,40022,8291,2297,136,4951,21920,11709,40660
42317,4192,26749,286,16322,30704,17074,37425,13302,29856
24533,29932,23458,40168,39195,40043,1762,43060,23584,33139
46762,13084,20296,14514,16300,45390,40604,21827,9228,16198
2615,42562,11628,18886,34889,1750,17880,32805,4137,42945
36605,14696,33709,15184,14073,35753,14510,7488,35125,22995
13387,34082,43007,38937,7633,22383,14432,19981,12445,248
25948,16165,21806,37427,17747,8272,1260,13445,25923,29835
47027,8809,13725,12624,46503,37383,33361,13225,17598,16939
12871,17910,44670,2802,39072,7832,7167,9984,28292,6331
36537,15413,11706,21822,42324,26988,14399,38440,10754,7531
23086,41082,44195,28555,23163,29216,15518,34099,30189,9436
2897,46839,27459,5138,10334,12832,40380,31147,23183,14054
31630,14944,34793,30063,25465,42073,26394,42080,35045,45157
17078,31538,6315,8260,18938,33418,46401,16467,21293,27271
15476,32673,43804,41014,14242,27529,29054,9307,35752,20740
45149,32234,10693,19808,48668,35083,21316,34658,33449,25539
9545,45028,38532,27323,29115,8438,34616,7748,24617,6517
46253,16923,21852,15945,44103,34189,15713,4343,8430,19515
40893,25761,25559,32623,24228,39196,35004,17919,44848,11354
17665,10693,41004,17165,26391,19996,37639,6602,8942,30354
15647,46242,13020,6196,33218,24815,17544,21999,8272,13788
26465,37847,26615,30448,21277,11189,9226,26858,7560,14324
28826,6988,48818,29827,37158,18123,5084,36752,16125,13220
42204,8577,27980,17841,31754,32125,516,34115,12911,28998
17358,4174,24064,24904,33938,38471,32862,14201,18107,8776
10198,35113,13462,47273,10307,29466,42386,22930,27282,46240
16252,18130,43418,40688,41536,32417,22340,42579,29826,4633
16677,33120,26604,44904,35314,24819,27417,20601,30291,13460
9519,15214,19187,12586,14397,32345,26607,13024,12618,14954
39031,14556,8077,24222,12525,44788,27019,11195,3809,320
15728,37673,26902,7516,41411,20864,31997,16377,5888,9209
7689,12287,34372,23109,31281,17861,21874,31779,7561,20178
24376,16941,3741,7749,33703,36086,20512,15076,10255,15693
41447,1717,32586,43526,33265,40661,25855,5889,31869,13774
12716,34012,13016,12871,26592,26041,17147,24239,16230,20680
33593,32584,43990,26225,45947,31555,34403,18129,15844,32897
750,20111,11823,26578,18233,23957,21123,39203,7805,21910
42245,36181,45120,2518,27844,12564,26278,13154,45555,47777
1769,9633,37565,34121,45664,18153,16111,21673,44094,14131
20115,24728,21334,46705,35286,40649,44347,38429,12198,4966
6229,14451,12870,4690,33801,33313,28824,17263,39095,39174
26788,34792,247,40030,1030,37653,37452,21470,17054,15657
3769,41524,12286,41729,44403,13826,30692,12640,5907,7662
1549,41656,39044,31704,13851,38123,40150,21997,44621,41735
6923,16622,39943,40535,34747,42255,38601,29189,21135,30059
46080,23278,751,33216,1539,14331,35193,31805,19118,17742
16310,9490,34334,29047,30452,47980,35181,29293,24897,28272
31424,35216,37627,157,35320,42377,34648,26971,406,278
16057,32438,29276,7791,24648,46536,14708,31990,19678,42786
33581,13441,40230,40855,1071,27253,19422,1738,32471,13083
48811,31094,11874,27060,2628,6477,15124,24334,4310,26930
30382,24598,3080,12775,32882,24640,3469,1188,17444,28826
25978,8982,29593,26607,33075,13386,9364,840,9240,42745
41098,18945,28356,36445,17722,22891,9508,44839,43979,5815
18182,40228,33214,12227,45933,43148,20821,35763,40573,41607
9835,38950,41933,48825,22696,37822,16593,35535,15476,24763
14069,40628,543,14276,17049,40908,36335,19273,36964,31006
23661,37495,21418,23169,20790,23181,16938,9918,27996,32359
39892,42970,7060,27821,19981,25198,4843,16893,614,39783
6847,22254,2633,16301,27241,32890,11058,37700,38941,20694
25466,14306,41975,140,14662,11060,21817,32677,31062,36923
17319,33246,31398,33830,33217,36963,19536,13590,16944,30763
4270,41612,15592,23526,3664,28887,15749,2092,1923,32980
33219,10494,24835,15712,34264,24075,40742,23818,30197,6228
12604,6503,1922,29253,31279,30970,46378,15928,85,27885
45693,41650,28785,24891,41655,41911,41534,33672,32145,40860
29727,15581,28009,29822,44067,8973,28577,38856,10512,23941
12249,22421,11225,27459,23587,18058,11709,13300,26036,12644
39014,17974,39482,11831,30928,2297,32706,13466,15669,19587
22981,31755,6611,45040,35771,12991,1865,36574,14297,2224
2808,5858,13242,19820,26537,18102,43259,12644,13210,12962
