x1,x2,x3,x4,x5,x6,x7,x8,x9,x10
10533,12208,22863,30931,20725,14003,32482,30322,5593,6002
16124,13655,21309,1469,28902,28822,6143,5587,30152,16973
5063,5089,2752,29780,21177,22827,10453,16627,13998,21298
27390,14814,13130,11753,31815,24719,21891,3022,10379,18468
9321,12202,7493,25064,13269,11027,9487,121,31972,27124
19473,23702,32021,12895,1797,4354,20651,48,21917,12782
17646,297,13924,422,27200,32560,31946,10524,8977,19116
21224,19568,9184,24452,7163,30998,24018,23518,4897,16017
7187,23569,22269,25551,8724,11776,9215,12460,10552,6378
20381,2163,16422,15674,29780,21282,29077,5632,23586,24008
1305,3271,2470,16623,25210,20882,1713,31276,13466,20159
29883,4747,23225,10121,30975,23598,21214,5196,10496,3836
12207,15015,29317,30022,20864,8768,2074,20736,12513,24678
31218,31636,20793,18279,17147,16107,27622,31171,14911,31614
24334,19110,16671,8228,16588,32114,7398,23305,9486,31290
18234,26840,27266,218,265,15382,7503,29654,21638,4612
16938,25503,9660,24447,25104,13555,18781,15877,87,25313
29605,24858,16092,29452,14474,3818,17786,29907,27726,14917
5549,4949,27257,26905,28868,21624,31952,13703,9966,31921
21044,5538,29638,16665,21547,309,5394,14633,13891,19156
1448,24616,29661,2633,18495,6010,14638,6515,21782,21171
20442,18054,1545,15290,25457,10957,15829,22301,3906,9651
11944,15418,13460,9648,72,10065,22369,127,18507,3367
14527,16457,9429,20256,14586,7359,16083,2516,19272,6988
28851,831,12885,31189,23101,24379,5444,2473,2859,13074
18817,7464,18565,9418,25449,31812,15749,11921,29585,1670
11848,8850,13891,4438,30792,2738,26409,12139,21935,7832
3157,2385,5376,20170,24866,24858,21495,16752,20134,29547
28551,9833,7777,19998,19862,24018,11616,12798,3027,27360
32177,15318,32203,32246,14707,14057,21150,18196,19664,13165
11029,8939,15347,1713,24526,7274,2973,398,30022,29098
24317,27635,4575,26023,17804,12554,8316,23369,9013,28088
2903,26462,23313,12872,24130,7122,19492,13887,25262,13887
30258,14938,808,17142,19659,11960,10036,21779,18206,5751
10935,3827,20434,32506,27507,21735,5632,19576,25037,10208
26936,32530,513,23806,19822,14599,3292,23768,21138,24708
2802,19790,25243,29659,23904,30913,14702,23932,2158,6911
5220,1447,18453,11335,3619,25882,12429,18450,29555,18352
30667,15550,28224,16205,18675,5601,31502,15420,1102,26104
18180,14371,4185,26846,30352,23741,5222,25764,5588,4000
8032,1160,28610,3267,1495,9130,1160,28062,18132,6957
18367,13927,20252,23086,9418,19296,9425,6468,2872,24139
2925,13269,17743,12758,25049,9639,16719,19506,22738,23644
20456,24316,3850,2287,18489,7489,25381,11491,23983,30338
6570,28325,25926,29093,32301,11904,24024,19566,18196,27934
31185,29933,3288,10171,11028,24186,28909,24267,31160,24018
5175,15420,19987,29707,31986,16014,8536,11404,639,5517
7290,2020,3464,19809,19866,3020,10429,32372,909,23305
7263,5820,22586,24481,26414,581,9357,8614,22142,29123
9280,11747,13343,20273,1373,18598,27105,27832,27633,32112
30753,9235,2744,2483,9315,20742,13267,24744,23998,18443
26648,8761,21142,5427,5815,6492,9516,32011,14253,4466
28266,3833,16164,16188,28807,14294,19971,5811,17969,10406
30872,14818,15098,18957,14387,19766,23939,13906,1913,27101
8883,21038,19900,3451,20459,24633,27457,10205,11852,7353
31165,13577,4177,4433,14303,10942,5414,7029,31654,16906
10729,5112,12320,27070,23317,7566,24100,25808,25331,23719
23248,22543,12119,26144,31645,7534,23439,14539,25730,116
27953,29860,3578,2480,6176,3388,13691,18615,14992,16863
23733,17892,25372,17510,15365,4782,1963,2556,8228,25437
7690,5249,23363,15630,10554,13801,31491,8994,8883,21576
24381,6631,9268,9857,26332,1153,27282,8175,10843,13622
31968,22644,23979,17327,25972,8712,16633,13975,2353,23231
1122,19718,13921,7278,5106,20770,16747,8223,17927,32052
4428,10986,5242,20427,30463,22862,22066,27566,18380,15546
841,30667,21089,13199,1744,22672,10553,15629,15618,26816
14107,31240,6748,23952,23717,30481,6142,27226,9164,9345
10772,12781,27587,15068,8473,30715,16496,17401,30552,16174
6359,4122,10729,31401,10707,13483,31295,26217,11616,30642
3427,6186,2832,25961,8813,30024,12110,17626,31800,14220
25831,15971,3864,749,19458,25641,29955,23651,32038,29733
6250,7553,19492,5845,16790,28203,7263,3964,8249,739
20164,21684,7034,11841,24339,29182,16946,7099,4727,13934
25356,8614,10079,9533,8536,19968,5542,8781,21320,25917
17671,25795,24436,17685,5293,23209,21245,1407,30104,8572
2799,13451,31136,23692,12563,20609,12023,3757,30964,8836
