x1,x2,x3,x4,x5,x6,x7,x8,x9,x10
1361,19463,35520,27890,23155,26837,4203,38430,44736,37007
32584,38559,45665,22419,27170,35433,35763,13656,9453,9220
46770,17145,11720,38602,23561,26208,17976,28060,28077,21770
20413,7115,28426,12523,45051,42844,26814,211,8774,39591
25482,33385,28574,37483,33448,40923,1868,25376,31822,37157
15461,39030,31124,32890,27365,39201,40427,36831,30549,23542
403,3197,12556,33392,6257,18116,16315,12878,732,20382
11469,30975,14487,12375,26556,12447,7486,21454,12999,45882
14364,16344,23930,43904,33407,45078,41532,20987,23122,14222
21151,26427,18058,19993,36480,38449,26638,22954,15982,42940
5315,24761,37676,23093,31732,20114,6374,5323,11113,18337
39072,10109,6261,45856,29577,14442,6465,46060,22407,34245
22853,1190,42526,11557,42909,20303,32277,20178,16624,18232
23751,7797,21198,12413,18808,1175,22263,11970,5413,27700
22525,15942,21146,29220,7938,13281,32738,20297,38501,15496
28585,26262,37405,32851,31946,40541,19983,1058,28480,3121
23385,28098,5137,22068,37674,22750,22225,8707,41632,45537
15922,31311,28560,20023,45725,15401,30198,19356,35421,31335
8848,44246,44070,4458,40831,45079,14829,9546,20862,41252
6478,26537,20291,33543,34404,23171,31282,2623,7620,15218
26534,41344,37457,28643,12032,19095,19510,26048,20980,30910
13506,2572,26536,2307,27251,13532,15799,8451,13014,4046
31566,33105,6992,30301,31753,24737,41944,6251,40750,37044
36802,35577,8741,46412,43270,16068,8646,12419,28797,44735
14095,30801,22924,34826,14155,42764,18089,15155,9518,2572
13130,12557,27693,13185,8825,3471,43932,31266,23614,12566
15623,6672,19686,20759,11392,24108,40672,9874,31081,17043
13789,13258,39942,2987,4046,14141,20899,27417,11303,29253
992,23645,38994,22406,13967,18905,4458,12547,9962,9224
13007,32782,23687,30197,7587,16443,28817,8044,27819,2809
43000,33887,14094,4741,28311,31557,14289,12745,3512,15911
39160,4456,19107,22368,23204,43044,38965,11674,4009,46710
47238,14414,3185,45917,1410,15383,26603,38873,2090,40778
1691,37846,40946,23128,3147,39184,45578,15970,33135,11840
23798,7705,20692,30575,10182,11720,44182,37226,21136,36372
25761,21656,38435,9267,21921,13564,8927,13507,4825,23089
46245,41796,37471,37456,26342,45150,40007,14270,3705,5865
43536,14473,40284,18192,41281,35300,14519,22930,19337,7748
10109,12738,7587,13622,26604,41798,33245,38687,18726,34740
22748,26351,14152,45820,35119,31240,23169,16135,11467,1540
5645,6312,32243,32261,26250,14413,14195,19537,22656,14096
9487,31090,26284,18299,1722,22016,23559,13013,45049,33268
5000,14289,31464,37789,609,38170,23904,29553,15515,12355
31930,4249,46703,20882,10085,22294,41978,46288,13718,39618
24281,6991,8776,44271,212,17899,30967,13105,9957,20646
20113,17618,15470,11790,45679,13600,7612,41408,31082,13314
21232,33120,46119,820,32816,23703,13207,24794,12914,2216
26502,38465,26557,17717,34802,19103,37292,35301,37268,34797
9833,40161,16048,7110,31704,20415,35250,36414,37314,46084
35180,14069,30946,32817,24247,13373,42949,22180,17678,28778
33838,37726,12318,5420,38432,43213,190,14511,10920,19467
31901,19390,36945,550,23076,45698,43822,39272,27966,14343
28839,9034,4277,42232,8945,4784,34759,19131,46076,11362
25706,37613,17542,30570,30291,27434,21912,40946,36570,7883
15077,5450,629,16343,14986,41281,15366,23771,22697,10105
38437,17908,16111,46874,32106,12706,15647,22644,44067,34387
31281,19687,40708,30748,405,22737,12577,9564,15803,27288
41084,20033,36743,11338,9519,29049,9885,19944,13157,40287
44650,31703,1832,40750,1189,45035,40323,35890,34483,37045
20477,8776,45698,11196,17142,25835,16855,38789,9422,35541
23584,33879,2222,37566,13425,12344,31248,27078,24254,19921
3686,34268,23484,27534,12558,38629,14462,39203,22924,41081
12923,41151,35944,16930,6584,14777,22854,21502,34083,44290
23456,30497,26927,6518,29468,10096,45203,24804,42938,33569
2004,36913,28014,21777,16120,22887,13502,18297,10649,46412
23792,10001,45870,1231,37441,17180,41829,12897,36792,42038
41350,18113,29114,12504,30900,20886,46779,36087,39937,22434
14611,6339,612,11242,38966,12502,13401,21986,24321,8271
39578,13267,42611,45726,1463,10729,34653,14778,34434,22325
15491,43615,33569,15160,13789,9387,39986,13427,10548,22696
18985,12786,45336,12398,28298,42263,31557,14169,29068,43054
34378,25537,32196,7157,42396,13441,2467,29081,32981,37749
47034,12818,43423,15959,17835,18712,29682,22843,40553,33806
35484,24482,34655,40926,34637,23942,10251,11256,10209,27594
15633,5983,9268,16252,40289,10195,10773,12933,12715,15111
43147,41645,22882,17193,28649,34294,29291,15131,40891,7217
30830,34808,29018,10086,21230,27379,18171,12864,8035,22298
14323,4011,30599,40745,14818,14150,24773,44620,5349,6601
19695,35728,10253,28404,27845,41400,33313,11981,22015,12547
4330,18431,3456,8273,7113,23656,11227,14510,1239,45620
19208,42539,10519,20680,9964,31312,17448,11469,30311,3590
11965,30044,37759,14392,26493,35604,5198,12686,19455,8028
43044,12365,12901,34761,8710,18945,29218,20777,38602,19717
13008,39985,1851,6923,14083,33428,36373,19960,1236,30331
7114,24375,16171,18867,15383,29489,41837,14273,39972,14196
21858,7803,21376,37364,18292,17178,31522,31626,25033,27361
34581,12311,43991,27361,26467,28356,14246,30991,16312,42745
15440,45331,18229,28585,8413,23935,12927,1924,40192,7708
28074,19383,32958,17683,39779,12668,28597,46300,45180,2623
37472,32249,26831,33068,25144,19883,13320,17284,42417,35041
41053,40889,42096,42547,17898,23663,7695,7589,4316,37469
18183,8570,11374,1173,37595,42651,17899,34786,5380,13877
13660,24499,5366,15246,16375,14929,47272,23999,16049,44072
39198,40813,13326,26262,18983,12767,21767,27172,13703,33420
16315,21374,22379,12418,1758,36574,7561,12343,10807,40619
3214,32124,42200,16046,34889,10548,32814,32106,38437,17166
13985,1506,6921,10031,36026,31013,6195,41631,35117,24567
36602,13775,12665,15712,36369,36116,35640,19404,785,18095
21246,12774,14290,32350,43951,30880,27405,44821,38940,21655
28951,20445,41796,4754,39157,32363,11698,20855,30423,20454
13919,41776,16839,22092,30003,2850,22783,6471,1327,13547
1376,33675,1120,25325,8793,20742,17682,25775,22561,11996
26814,44196,19355,20351,29252,33582,41231,32410,22721,25922
40427,46379,25867,44401,41763,12645,21675,9379,12682,29714
8982,39592,2050,23541,15403,27193,16893,30795,12405,32480
44322,39435,36752,36707,13311,35534,40517,13314,28165,26941
14420,42438,37455,15433,39013,24878,44749,29860,16885,31736
3744,5405,13835,36194,45034,45558,9927,4460,21472,45230
34245,7623,620,17617,42561,36843,33161,13009,36936,21905
38125,18532,5491,18051,37381,15639,13687,39200,23128,38885
27270,21896,24650,2893,7968,20893,7619,14174,46905,10737
28898,24022,13796,20205,12591,44195,28556,23604,5836,34170
27269,24717,14920,20171,48816,27288,1549,9466,17178,13182
150,10297,46900,6279,13495,20021,16708,44647,22376,37384
9995,24187,46704,14183,24535,18057,17918,39698,1868,24499
32438,6370,15441,28562,29291,34733,11440,24701,36363,4035
23705,30922,36982,2541,39519,17704,32597,6936,14929,15404
28291,43294,12176,13143,21805,20136,29883,32861,12607,25684
13643,16313,23547,14129,5422,27517,36363,30172,27558,6185
42098,19477,40043,24461,42441,30803,17587,21420,13367,12787
13917,10455,12196,19952,21986,38354,11707,21769,20702,12258
39441,31966,11224,36022,3188,29436,25821,36446,10220,16312
13560,7707,37391,36985,26268,40361,35730,23261,5961,32735
42862,27217,42846,15941,11703,18111,13364,13388,34511,4449
2226,24807,14297,27461,3659,24752,40833,24780,2276,4727
45880,18765,43137,38599,27707,11628,12400,18169,42261,20700
43061,25478,1539,23585,20515,15010,32583,13358,18939,35893
44059,9256,26343,18242,14584,11645,36347,1958,11394,44952
13877,42964,13438,17095,23496,29897,27956,27756,29257,30606
22435,42617,13304,39861,38911,41626,15485,24279,21127,35119
37578,13160,34898,37652,34870,42241,26091,13686,44693,43147
6479,35405,14444,13505,16892,30241,18108,22782,28117,12806
46536,20605,29338,9033,23227,18150,39202,40877,18563,42937
12363,46707,34705,39114,21946,46066,24748,41912,6279,27367
52,14392,27482,36568,13807,12912,27168,42927,24099,32398
32309,13120,19475,9588,8776,39136,40580,35863,42940,11874
14138,34840,35505,10593,5171,3235,46323,23392,445,30579
18903,18869,35504,45551,43884,23791,1037,16761,4867,42977
29090,11937,42083,38484,25794,1210,12732,6477,5869,7585
9267,862,34319,32560,23485,30345,23769,20169,41922,14165
44311,8911,12681,8705,14142,11018,44775,5380,44544,29884
24592,11705,11353,30923,30607,12934,43670,18203,33937,26883
30064,36181,18338,3757,5260,16130,14094,29683,35038,26813
34779,26938,13517,9946,30800,10875,37998,17588,21893,46814
40891,29822,250,2891,21515,14399,31971,9708,3506,13225
38985,47260,8380,21471,39451,23471,8044,22393,22928,1721
17881,23493,44649,26748,17224,28643,41505,41910,39558,12427
45237,10106,31954,24281,30992,27596,34571,27199,33544,48767
16130,19175,46718,23818,42377,39016,22022,8382,40287,44392
13783,44118,46330,45633,21965,14944,13211,28427,9566,44142
11479,36412,21973,4697,36931,44576,43642,24010,13350,8981
45649,224,13569,1758,15445,20020,41299,31147,8587,28575
3607,16863,31823,40142,44197,27852,33234,41359,4869,24313
12961,14464,30895,19587,13356,32724,27807,19992,21111,24772
44194,32641,29358,24640,1113,39974,45079,34239,23792,28997
9005,3063,35107,12746,35570,33645,12561,3063,38783,33400
9721,30558,44389,23385,7546,13035,35489,3635,668,39017
26425,1923,41408,8968,1716,39085,10025,32783,37365,23635
44770,12416,22368,1121,39568,38883,14083,34554,35499,25850
26970,36878,40618,6630,3619,17583,34013,13119,37825,16914
8112,20148,45875,13101,42615,44953,8380,43911,15587,24891
784,40384,14672,41298,25985,32657,8327,10110,44620,28099
18068,30795,28347,29044,2546,8061,5453,16686,6691,15109
23583,42302,9963,22560,13374,29593,26590,27387,34014,14070
17900,28930,32185,36422,22406,8411,38701,4906,36367,23815
9228,1414,35306,21767,6679,24819,203,37760,29067,20136
13928,21904,46487,27414,21568,5152,31736,32762,7708,25540
13429,26858,36929,6477,33413,4742,39893,24736,23441,4190
32265,22009,43828,38407,25779,20205,32729,30477,12931,19544
29312,33782,13699,17873,33090,752,2962,12540,6256,45084
39010,14455,13247,24846,22074,26589,26566,39318,26989,6242
15445,33268,32165,2960,20010,25833,27954,21516,41514,20869
29769,30062,30793,45242,14610,13172,19936,47166,798,30349
2593,1062,27925,14153,23787,38781,38782,20682,21897,19384
45536,37694,24744,37853,31913,24617,9262,36557,2298,24532
36425,44621,13626,32115,31945,10645,46132,24233,14287,16830
29115,10547,29986,36389,22285,21974,7711,35520,9210,9918
3658,7111,20600,42245,41349,44077,6251,46209,5260,29750
31013,25149,32250,43185,9708,45110,13626,33314,14077,37496
26098,41854,19641,11200,38964,11806,11908,25032,1121,15794
26034,4448,39073,45159,36958,28586,38911,7113,38980,10209
20882,28649,22889,17156,15155,16940,34553,11965,12854,47274
3506,21543,8606,4418,14038,15483,6463,26895,2308,30693
3041,37210,14494,35716,1521,10798,23631,31530,42007,5303
13665,25910,41531,8108,8705,40843,34304,7464,28107,39536
32009,41643,24282,21627,41153,26858,21828,22605,45633,44695
20515,6535,16185,14889,33704,46944,23792,22749,4671,31793
16442,38792,24627,33117,45027,42398,44926,15461,29785,38675
45405,31351,46784,38644,39481,32422,33685,7199,44289,22940
21380,32714,13033,20236,10295,18240,29266,43825,29087,41665
30687,14245,12668,27989,19742,32627,33419,3597,20801,27747
25419,27305,44933,23193,13084,24027,6564,11039,25038,4045
41463,12899,45724,33189,45167,23933,45601,34794,2637,18893
18520,2014,8577,36250,26446,735,37698,33337,25944,24243
9826,10649,14083,37385,26957,40931,25684,13627,11022,19953
9688,14034,29056,3234,8853,24186,35494,36369,8953,6968
17837,38464,29960,4261,42215,28545,2463,36167,10874,18988
24541,12662,1509,36556,4845,8083,29762,24772,15375,29119
29931,7387,31364,27405,28827,35421,22041,17164,14167,24808
2218,13654,28777,28505,28243,32264,34648,9516,22043,35575
1165,33838,34808,46274,39454,36250,46322,11626,691,15471
30590,37487,38918,30302,22547,6602,13000,25901,5868,27901
39180,23538,12538,1063,19246,19536,23204,22039,4735,5172
39390,13154,8313,39592,29271,26969,21416,13327,17201,41392
8972,12637,35483,44955,30777,13338,27875,24185,21982,14335
20870,16122,11053,29908,27821,13469,37591,29266,26782,22515
38123,15224,6632,34906,30060,9036,38732,30189,23635,5908
507,31899,48811,38376,611,28244,44821,30771,22458,30831
17872,40648,6565,22666,30860,32915,24638,36251,6214,44676
41503,20147,43821,5876,24041,36791,5174,12464,39601,12816
37557,1418,30943,27019,5961,39046,11017,31164,11726,27706
38232,1927,11822,13275,34650,11468,11330,35526,6251,32738
11754,32165,2006,34574,27916,9317,11284,44259,38126,19641
28347,16585,20860,35535,39617,9996,14403,28324,38565,15639
32737,11908,13902,2299,12569,39142,10194,9998,12423,33428
34697,1063,27496,32729,43824,1067,27560,7079,20134,13814
2284,7995,20789,514,20648,12697,19118,9361,45648,35306
13589,41071,4669,8236,34807,12589,44292,34491,189,5453
8108,33298,16857,2357,42609,30325,11212,17101,31610,29345
35515,5262,40616,12389,14517,12228,30988,30895,15517,10215
42580,35729,9540,4360,1990,2504,15945,6138,14033,6536
27174,27314,1473,1554,34264,45155,1324,37384,19487,13470
11844,9422,14522,35863,580,24572,20647,40384,16905,1095
44236,24535,32115,39203,32782,31763,28586,16186,48567,39480
38131,25970,33319,44615,27413,3071,2987,41400,1298,34389
34750,47256,37006,10700,9884,41516,15130,40777,19900,24864
29093,25517,667,20649,18676,14571,30302,27873,13022,29523
12558,33801,3541,21454,12787,44310,33215,43979,11725,20668
31956,8904,33136,14375,35930,37156,13014,38781,9306,25940
13650,37420,12322,32127,20926,8927,33365,21350,29473,18756
45537,30029,16581,15729,32906,29119,29481,1299,18230,44229
22892,6374,28823,30290,3245,30353,29990,8913,34659,31140
19226,4694,3064,23130,3682,20008,33639,39046,11965,25323
32115,29884,27333,6293,6384,23811,9245,36461,13590,16112
21178,43970,21636,36886,36116,33074,30260,21426,39030,26268
9404,36399,29266,7553,2979,33996,31695,2464,34334,37421
18066,19957,44860,41910,4350,4361,14204,5105,31311,13282
15703,32810,31030,34330,37703,27183,30692,26414,13412,20225
6192,40433,34574,44652,23092,25728,27514,31974,38951,27014
2571,42535,32452,34992,18090,25537,9228,36858,10809,4795
17703,39144,38797,13836,27010,19836,14110,2579,13313,2298
31745,18182,30885,14302,11840,22658,12244,23203,37565,47816
6440,27342,30343,13163,46480,10670,38643,35168,10546,46455
3392,24549,25896,28575,21756,43054,39942,25859,39609,10648
41797,13662,33366,36233,22016,13968,29437,277,47237,32263
14357,18796,22048,31752,32623,38871,38120,46884,5106,33878
45875,45050,43254,3771,17135,47262,17600,31271,10208,1462
32260,38212,37749,4061,29727,38880,16682,45403,7380,8438
14951,34841,6501,21144,26522,45575,23907,33129,2048,13701
9431,28273,19955,48312,37846,30002,13471,30952,13279,35762
11937,41923,7113,32628,23769,18242,1522,26524,7611,17643
2546,27988,9263,16121,16743,25420,9872,42362,5895,6257
6489,28009,31125,17880,13576,24629,40354,35571,40053,36886
36469,36556,45292,23686,16677,24010,10455,4099,32104,21198
11731,34355,31635,26901,4330,39403,43506,31475,6202,16857
19991,33060,33838,21374,46323,13495,11150,42752,20335,31938
45404,40942,21446,6658,43922,34692,20517,37046,12258,22848
12001,26748,29970,5815,5229,43185,37471,1269,44088,12033
38873,33759,35758,24335,28224,45633,8742,1509,14860,14805
21919,14208,40517,18071,26642,26243,15948,15197,3399,1067
16035,16697,15912,4194,11314,17948,45360,27155,34796,25886
4682,22941,36042,22404,13320,152,32803,35570,41910,1027
2515,22982,7633,12442,35216,35923,29727,15844,10194,11727
9485,33267,25821,33298,7493,38905,6449,21177,36198,43163
43434,38883,35084,10712,39280,29054,41799,14091,30685,9539
41343,47253,24641,15021,45911,15576,37362,18338,45632,33703
12774,25943,37293,40832,29912,12033,3108,34089,2807,31769
26446,22011,43913,31991,20381,42343,21251,36984,43616,2201
8079,34144,34862,25954,4034,42762,24556,8577,29124,16597
15354,1510,2641,37485,36003,15354,14222,24798,31008,32853
21455,6491,19960,23427,30548,47287,15008,35273,19509,39182
23652,28807,14797,24813,602,18387,13550,44951,12996,14114
41236,33232,21787,13302,36544,33215,5996,27332,26478,29472
23752,45332,19942,26551,31363,15125,26786,1755,40877,34117
28596,37159,9962,31904,27495,24212,14634,9377,28427,36699
41994,29351,20225,35101,29298,32372,9035,37594,20839,25835
24498,13966,36007,22196,4060,5219,11658,22926,29291,6629
15631,23920,18676,40834,19713,46109,41344,13255,3634,43977
27037,304,44902,32909,30884,46746,44652,7532,14245,7486
33685,21400,20727,38048,44180,41446,11190,27918,10111,11429
22378,23130,6316,32714,11039,35685,15519,14087,28777,10551
37620,28371,2876,32920,18807,29108,5815,43146,25945,41623
38798,33704,39104,21687,2077,40667,36706,8825,23108,15490
1897,28052,11364,35045,26327,15670,10444,5238,39944,35862
43287,39645,33741,38205,13128,435,6524,18070,12808,22883
19588,14170,5139,42964,34359,28934,35039,9240,4432,18281
35456,33698,14386,41479,32475,40286,7527,29251,20115,33295
17705,17715,4635,10046,11753,27757,46901,35167,42198,10494
40784,5300,6577,3744,14231,22293,995,600,35031,34888
4886,31949,18807,43424,20899,40700,11028,37292,18796,23479
33718,25724,11819,35534,33270,33187,40886,16664,15141,18245
23127,16883,13246,31769,33543,35043,24616,6669,19119,13639
16842,20681,37599,7054,31897,2534,41098,27836,35177,18064
8853,12198,39636,4193,35418,14145,8807,39069,37390,19768
13471,40703,36930,33459,9997,21821,19403,32828,45325,11586
1375,35929,22926,41519,30960,41910,17072,9834,33444,44771
16393,40673,22696,27316,46254,30542,40777,41223,22947,39568
19077,27359,35990,41611,12583,35525,40686,46503,9517,26240
17122,23548,22291,41164,7179,33418,32437,25791,2635,15772
43902,18223,4907,26584,26335,22936,34536,24246,29092,19547
26824,5294,27036,43826,40813,2794,14899,29055,36692,17388
19833,27079,37739,17627,39507,14289,41294,581,34690,19282
21526,20647,32605,16465,27534,5083,29029,32859,38629,44621
15587,44183,7215,23165,12586,29399,40795,30282,248,12847
29264,43862,40741,29824,45747,1110,8313,9386,26278,13159
34421,35944,23085,10809,16125,22376,42502,16049,37373,43175
20302,36918,494,37381,15244,20022,44193,38485,28965,42051
203,8381,43894,35989,17229,11898,21655,46252,29976,21335
24040,4783,33598,40173,36016,11054,41865,3653,18431,41895
45596,11621,19963,32280,3253,42005,42074,20246,27748,2535
13430,26090,46697,9518,40425,14801,19958,34988,13814,14302
21129,14940,13630,28995,32897,45298,12806,29312,13782,13779
1858,17582,32774,13015,6683,15586,21445,43492,29509,14148
13649,7381,32936,32113,11656,7498,178,40741,1343,33687
15598,22657,35891,34971,19926,29406,10297,26115,46392,20271
11289,36832,23399,45828,44081,13432,38623,15830,39072,7009
27885,18817,38380,4397,23989,12604,28006,28643,8721,11557
40516,46894,12819,36242,42098,33137,26098,16253,39100,20280
37224,33338,12635,26913,32149,21503,27460,46061,27571,43274
4459,7077,10309,15778,41622,23130,29042,1694,15592,21128
37552,2581,10873,7652,33001,33295,47193,39610,35064,12590
42408,44242,30507,19226,28824,320,7723,8794,30417,40852
42003,36996,24498,29962,40591,39818,37369,33556,42231,41572
42948,24214,39533,7169,31462,42915,13354,46777,21486,36048
32478,41977,8260,16674,4726,15955,27012,18724,11603,20476
27517,22543,33320,21415,20472,10108,44418,33762,43718,28839
28253,15402,43652,8412,1482,6386,26913,32665,34250,27534
42233,37007,10713,30063,8236,5700,1064,36478,11849,14919
19467,21504,37851,14122,36250,12423,41921,13725,36911,35290
20440,2918,989,19382,13649,23687,10467,30537,46503,435
36368,34574,34356,23459,17909,33140,44160,44292,4703,24065
33670,31868,44954,5998,2086,27077,30808,42376,44142,9709
38581,12980,37559,39352,33246,17541,44653,1377,31136,8115
23777,24010,7791,12712,2980,11374,5209,18173,24613,32822
38894,13366,14174,10765,22438,24793,47025,42410,19586,28519
16390,30353,14214,43256,44658,1359,42097,21290,16317,2197
8896,29781,24549,6682,27954,21876,40752,7694,27517,13544
35127,14272,3207,13430,33314,46762,21895,34269,45664,45225
17838,36929,9533,8291,46431,11328,1174,20742,39646,10047
36994,39112,8800,31732,1306,40574,19516,4737,22406,31910
10182,18313,7533,2090,8954,28444,10186,21340,32935,9398
821,16300,24224,21769,32144,32447,12738,1297,5294,21873
4279,3251,29066,32902,23255,39984,45199,32000,3123,5858
12858,32591,4795,41176,19885,30895,2224,44229,42409,39170
21850,41072,17074,14070,16479,41831,21144,45078,33709,14588
32586,14928,38683,12680,18921,21000,40299,30167,19548,30898
33279,36697,13891,35136,40177,1238,11272,4456,16682,24759
11042,22044,37654,4042,40560,36706,17791,43933,14640,13206
43055,37385,46095,25886,38950,13400,43611,16167,12781,42072
33269,46749,39288,22941,46108,41055,26777,6678,35551,24334
18433,33599,13985,13240,13155,32956,4200,15951,9534,8107
20998,9211,32341,25683,1715,13770,25756,39274,32587,38407
34276,34354,5199,16634,37316,6610,32190,40230,22483,37820
33234,24247,44067,14296,45783,13949,5907,25736,12747,2571
24313,21445,45603,27332,44933,2091,23432,39390,13306,13295
28438,819,27047,11706,22092,16623,12995,13440,32643,25549
6365,14321,26954,42342,43699,32150,39270,15124,37391,34296
31521,33313,38783,41964,44604,26096,40574,42206,37419,15837
17146,23612,5865,12781,28588,28410,43203,41070,35536,7406
41056,42365,18390,34751,25965,38645,8439,39378,47026,31737
18170,34239,30829,30193,11212,138,12665,45741,20037,13209
12911,43699,15405,20134,4089,6673,14302,24461,23604,29115
41607,1401,13849,37748,11641,18728,38565,12553,14456,42652
11166,29741,29593,19123,15595,39615,8860,18566,2217,44658
21985,24785,28075,36963,43296,1439,13450,33877,45564,15829
13848,43203,40288,16856,15942,40945,22226,19211,34888,33287
19537,32410,1510,3761,13087,29343,30449,30171,12532,44118
12632,85,12859,36832,3063,44060,45828,11050,13366,25963
46700,44620,43539,42946,19122,15728,36934,41995,11174,30040
22751,44380,14019,1058,14209,16573,36719,33886,26356,37771
27886,6863,40834,33557,43979,3636,9406,40054,32261,15941
22301,14189,31356,38675,25913,43670,3636,4067,4999,10872
21920,30701,5198,17966,14332,41006,31537,2949,13627,41082
43983,18193,12604,23799,35211,22925,31630,278,28515,40539
8705,34512,40944,40594,19738,2961,39043,11559,46360,29352
21447,11682,1549,40686,17359,33839,14939,35041,8776,15131
6173,19885,34232,18893,40544,1383,15835,15447,27864,46353
7157,41033,842,18923,9653,12822,19119,14860,18925,36708
28244,34861,40318,4888,43185,6331,3188,41056,18117,15614
42615,14298,6156,21262,14880,13813,8341,14242,47182,14892
29265,5349,17902,11353,22434,1035,21756,46429,44531,18902
3822,16301,16121,34098,31783,33556,300,34103,47551,7611
13197,4348,27397,6540,36014,4740,9545,9946,44069,38046
8012,27323,4023,22203,7695,11224,22016,31555,44390,29755
20476,35892,18063,48816,6965,14139,28253,26278,644,20714
30588,11017,5454,36877,39123,28999,5084,22829,34207,42241
31313,46883,35989,42539,41000,35004,32250,30781,12752,12175
10253,11782,35233,22915,22717,31954,1540,38121,30554,38719
39687,34608,34697,2616,29967,40162,36567,33905,18301,26383
36937,7581,29742,6528,33825,3168,23717,35490,45858,34354
21795,4952,46080,29827,222,27832,16187,12378,23091,15588
29899,40174,30940,273,13933,18757,31275,15433,10048,43826
30247,1715,42627,27966,44087,9321,11657,32717,14874,46359
40161,31241,45616,38088,42386,580,47949,25914,23170,31309
29524,43787,13559,18372,24134,22262,24758,14097,23386,13208
2981,38765,39189,1232,21871,22751,7622,20111,12338,34190
31945,38501,16972,27749,26737,27918,12338,4290,38723,14697
14516,19382,21415,15831,15476,12714,45632,13807,26114,1405
22291,18292,24871,12248,16968,28778,10777,602,21235,46778
4888,9219,27077,35181,10918,30579,26431,42750,26416,17048
13483,45946,13967,3524,35250,9519,42490,15111,19477,5236
18426,21081,1165,2542,13626,24781,10248,6576,33829,43384
26278,22091,16113,13470,33581,8118,16961,15621,8083,27368
16059,1090,1437,31763,420,12553,21455,33831,1226,17008
11823,18229,13764,29804,46919,33674,43259,21862,37620,26439
15608,14512,11054,13110,24865,2276,13439,45180,43000,45158
754,42947,35112,35110,15581,27980,35488,45704,42646,14121
23935,18775,15597,35913,14074,5496,24056,21826,27842,40042
12902,43611,35234,15381,44181,31274,26565,10328,45169,12197
21154,34415,23106,12315,31528,9707,5303,15732,32002,13341
15367,2284,34971,12359,22302,17693,40876,44086,27302,15507
26023,44104,10701,43950,25466,16944,6670,46140,28169,33319
