,xy,yf,prob
0,"(1, 0, 1, 1, 1, 1, 0, 0, 1, 0, 1, 1, 0)",0,0.42857142857142855
1,"(1, 0, 1, 1, 1, 1, 0, 0, 1, 0, 1, 1, 0)",0,0.42857142857142855
2,"(1, 0, 1, 1, 1, 1, 0, 0, 1, 0, 1, 1, 0)",1,0.42857142857142855
3,"(1, 0, 1, 1, 1, 1, 0, 0, 1, 0, 1, 1, 0)",0,0.42857142857142855
4,"(1, 0, 1, 1, 1, 1, 0, 0, 1, 0, 1, 1, 0)",0,0.42857142857142855
5,"(1, 0, 1, 1, 1, 1, 0, 0, 1, 0, 1, 1, 0)",1,0.42857142857142855
6,"(1, 0, 1, 1, 1, 1, 0, 0, 1, 0, 1, 1, 0)",0,0.42857142857142855
7,"(1, 0, 1, 1, 1, 1, 0, 0, 1, 0, 1, 1, 0)",0,0.42857142857142855
8,"(1, 0, 1, 1, 1, 1, 0, 0, 1, 0, 1, 1, 0)",1,0.42857142857142855
9,"(1, 0, 1, 1, 1, 1, 0, 0, 1, 0, 1, 1, 0)",1,0.42857142857142855
10,"(1, 0, 1, 1, 1, 1, 0, 0, 1, 0, 1, 1, 0)",1,0.42857142857142855
11,"(1, 0, 1, 1, 1, 1, 0, 0, 1, 0, 1, 1, 0)",0,0.42857142857142855
12,"(1, 0, 1, 1, 1, 1, 0, 0, 1, 0, 1, 1, 0)",0,0.42857142857142855
13,"(1, 0, 1, 1, 1, 1, 0, 0, 1, 0, 1, 1, 0)",1,0.42857142857142855
14,"(0, 0, 1, 1, 0, 0, 1, 1, 1, 0, 1, 0, 0)",0,0.58
15,"(0, 0, 1, 1, 0, 0, 1, 1, 1, 0, 1, 0, 0)",1,0.58
16,"(0, 0, 1, 1, 0, 0, 1, 1, 1, 0, 1, 0, 0)",0,0.58
17,"(0, 0, 1, 1, 0, 0, 1, 1, 1, 0, 1, 0, 0)",0,0.58
18,"(0, 0, 1, 1, 0, 0, 1, 1, 1, 0, 1, 0, 0)",0,0.58
19,"(0, 0, 1, 1, 0, 0, 1, 1, 1, 0, 1, 0, 0)",1,0.58
20,"(0, 0, 1, 1, 0, 0, 1, 1, 1, 0, 1, 0, 0)",0,0.58
21,"(0, 0, 1, 1, 0, 0, 1, 1, 1, 0, 1, 0, 0)",1,0.58
22,"(0, 0, 1, 1, 0, 0, 1, 1, 1, 0, 1, 0, 0)",1,0.58
23,"(0, 0, 1, 1, 0, 0, 1, 1, 1, 0, 1, 0, 0)",1,0.58
24,"(0, 0, 1, 1, 0, 0, 1, 1, 1, 0, 1, 0, 0)",1,0.58
25,"(0, 0, 1, 1, 0, 0, 1, 1, 1, 0, 1, 0, 0)",0,0.58
26,"(0, 0, 1, 1, 0, 0, 1, 1, 1, 0, 1, 0, 0)",1,0.58
27,"(0, 0, 1, 1, 0, 0, 1, 1, 1, 0, 1, 0, 0)",1,0.58
28,"(0, 0, 1, 1, 0, 0, 1, 1, 1, 0, 1, 0, 0)",0,0.58
29,"(0, 0, 1, 1, 0, 0, 1, 1, 1, 0, 1, 0, 0)",1,0.58
30,"(0, 0, 1, 1, 0, 0, 1, 1, 1, 0, 1, 0, 0)",0,0.58
31,"(0, 0, 1, 1, 0, 0, 1, 1, 1, 0, 1, 0, 0)",1,0.58
32,"(0, 0, 1, 1, 0, 0, 1, 1, 1, 0, 1, 0, 0)",1,0.58
33,"(0, 0, 1, 1, 0, 0, 1, 1, 1, 0, 1, 0, 0)",0,0.58
34,"(0, 0, 1, 1, 0, 0, 1, 1, 1, 0, 1, 0, 0)",1,0.58
35,"(0, 0, 1, 1, 0, 0, 1, 1, 1, 0, 1, 0, 0)",1,0.58
36,"(0, 0, 1, 1, 0, 0, 1, 1, 1, 0, 1, 0, 0)",1,0.58
37,"(0, 0, 1, 1, 0, 0, 1, 1, 1, 0, 1, 0, 0)",1,0.58
38,"(0, 0, 1, 1, 0, 0, 1, 1, 1, 0, 1, 0, 0)",1,0.58
39,"(0, 0, 1, 1, 0, 0, 1, 1, 1, 0, 1, 0, 0)",0,0.58
40,"(0, 0, 1, 1, 0, 0, 1, 1, 1, 0, 1, 0, 0)",1,0.58
41,"(0, 0, 1, 1, 0, 0, 1, 1, 1, 0, 1, 0, 0)",1,0.58
42,"(0, 0, 1, 1, 0, 0, 1, 1, 1, 0, 1, 0, 0)",1,0.58
43,"(0, 0, 1, 1, 0, 0, 1, 1, 1, 0, 1, 0, 0)",0,0.58
44,"(0, 0, 1, 1, 0, 0, 1, 1, 1, 0, 1, 0, 0)",0,0.58
